t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	8.704240e-05	7.262810e-05	1.067075e-02	2.291237e-03
1	7.083431e-05	6.602802e-05	9.879202e-03	2.703214e-03
2	6.836977e-05	5.575698e-05	1.042123e-02	2.353675e-03
3	7.358332e-05	5.070708e-05	1.150439e-02	2.050998e-03
4	8.172825e-05	4.761697e-05	1.273979e-02	1.822130e-03
5	9.097656e-05	4.591862e-05	1.396598e-02	1.689889e-03
6	1.005139e-04	4.568266e-05	1.511592e-02	1.658972e-03
7	1.098991e-04	4.689445e-05	1.616082e-02	1.710522e-03
8	1.188898e-04	4.935674e-05	1.708916e-02	1.816837e-03
9	1.274255e-04	5.285386e-05	1.790159e-02	1.960940e-03
10	1.355923e-04	5.717994e-05	1.860904e-02	2.132396e-03
11	1.435423e-04	6.219006e-05	1.922570e-02	2.328336e-03
12	1.512041e-04	6.782275e-05	1.975088e-02	2.562170e-03
13	1.584900e-04	7.392280e-05	2.018669e-02	2.834917e-03
14	1.653656e-04	8.031753e-05	2.054155e-02	3.140118e-03
15	1.718326e-04	8.683395e-05	2.082741e-02	3.466451e-03
16	1.778468e-04	9.327623e-05	2.105378e-02	3.799842e-03
17	1.833515e-04	9.944278e-05	2.122883e-02	4.125863e-03
18	1.882909e-04	1.051538e-04	2.135962e-02	4.432341e-03
19	1.926250e-04	1.102756e-04	2.145246e-02	4.710754e-03
20	1.963611e-04	1.147278e-04	2.151444e-02	4.956120e-03
21	1.995479e-04	1.184849e-04	2.155303e-02	5.166939e-03
22	2.022536e-04	1.215660e-04	2.157504e-02	5.344515e-03
23	2.045480e-04	1.240146e-04	2.158603e-02	5.491775e-03
24	2.064932e-04	1.258831e-04	2.159022e-02	5.612295e-03
25	2.081423e-04	1.272252e-04	2.159079e-02	5.709714e-03
26	2.095430e-04	1.280944e-04	2.159031e-02	5.787409e-03
27	2.107405e-04	1.285425e-04	2.159106e-02	5.848335e-03
28	2.117772e-04	1.286189e-04	2.159506e-02	5.895008e-03
29	2.126917e-04	1.283697e-04	2.160403e-02	5.929603e-03
30	2.135168e-04	1.278391e-04	2.161933e-02	5.954086e-03
31	2.142785e-04	1.270710e-04	2.164182e-02	5.970324e-03
32	2.149958e-04	1.261095e-04	2.167193e-02	5.980140e-03
33	2.156820e-04	1.249991e-04	2.170970e-02	5.985298e-03
34	2.163462e-04	1.237844e-04	2.175491e-02	5.987475e-03
35	2.169954e-04	1.225086e-04	2.180722e-02	5.988212e-03
36	2.176365e-04	1.212125e-04	2.186632e-02	5.988883e-03
37	2.182785e-04	1.199345e-04	2.193200e-02	5.990679e-03
38	2.189334e-04	1.187098e-04	2.200423e-02	5.994625e-03
39	2.196165e-04	1.175709e-04	2.208323e-02	6.001607e-03
40	2.203463e-04	1.165483e-04	2.216936e-02	6.012409e-03
41	2.211433e-04	1.156706e-04	2.226315e-02	6.027739e-03
42	2.220294e-04	1.149642e-04	2.236521e-02	6.048225e-03
43	2.230270e-04	1.144526e-04	2.247621e-02	6.074399e-03
44	2.241581e-04	1.141550e-04	2.259686e-02	6.106656e-03
45	2.254436e-04	1.140859e-04	2.272784e-02	6.145224e-03
46	2.269030e-04	1.142538e-04	2.286981e-02	6.190141e-03
47	2.285538e-04	1.146613e-04	2.302338e-02	6.241235e-03
48	2.304112e-04	1.153048e-04	2.318909e-02	6.298132e-03
49	2.324880e-04	1.161758e-04	2.336741e-02	6.360277e-03
50	2.347948e-04	1.172612e-04	2.355871e-02	6.426968e-03
51	2.373401e-04	1.185451e-04	2.376328e-02	6.497395e-03
52	2.401301e-04	1.200091e-04	2.398129e-02	6.570673e-03
53	2.431695e-04	1.216334e-04	2.421284e-02	6.645873e-03
54	2.464613e-04	1.233970e-04	2.445794e-02	6.722041e-03
55	2.500074e-04	1.252785e-04	2.471653e-02	6.798215e-03
56	2.538086e-04	1.272561e-04	2.498845e-02	6.873438e-03
57	2.578648e-04	1.293080e-04	2.527350e-02	6.946780e-03
58	2.621753e-04	1.314124e-04	2.557140e-02	7.017342e-03
59	2.667385e-04	1.335484e-04	2.588179e-02	7.084280e-03
60	2.715516e-04	1.356956e-04	2.620423e-02	7.146829e-03
61	2.766107e-04	1.378352e-04	2.653814e-02	7.204323e-03
62	2.819097e-04	1.399495e-04	2.688284e-02	7.256204e-03
63	2.874415e-04	1.420225e-04	2.723752e-02	7.302028e-03
64	2.931972e-04	1.440398e-04	2.760129e-02	7.341461e-03
65	2.991670e-04	1.459882e-04	2.797315e-02	7.374271e-03
66	3.053405e-04	1.478558e-04	2.835209e-02	7.400303e-03
67	3.117073e-04	1.496314e-04	2.873707e-02	7.419473e-03
68	3.182572e-04	1.513050e-04	2.912709e-02	7.431767e-03
69	3.249802e-04	1.528676e-04	2.952110e-02	7.437260e-03
70	3.318661e-04	1.543114e-04	2.991805e-02	7.436120e-03
71	3.389045e-04	1.556297e-04	3.031686e-02	7.428592e-03
72	3.460846e-04	1.568164e-04	3.071645e-02	7.414986e-03
73	3.533948e-04	1.578659e-04	3.111568e-02	7.395664e-03
74	3.608229e-04	1.587727e-04	3.151339e-02	7.371020e-03
75	3.683543e-04	1.595300e-04	3.190836e-02	7.341440e-03
76	3.759720e-04	1.601297e-04	3.229927e-02	7.307270e-03
77	3.836555e-04	1.605612e-04	3.268472e-02	7.268789e-03
78	3.913812e-04	1.608126e-04	3.306321e-02	7.226225e-03
79	3.991229e-04	1.608715e-04	3.343321e-02	7.179802e-03
80	4.068544e-04	1.607275e-04	3.379320e-02	7.129803e-03
81	4.145496e-04	1.603735e-04	3.414175e-02	7.076626e-03
82	4.221838e-04	1.598071e-04	3.447747e-02	7.020796e-03
83	4.297313e-04	1.590300e-04	3.479903e-02	6.962950e-03
84	4.371642e-04	1.580481e-04	3.510503e-02	6.903818e-03
85	4.444506e-04	1.568715e-04	3.539395e-02	6.844200e-03
86	4.515531e-04	1.555144e-04	3.566414e-02	6.784947e-03
87	4.584284e-04	1.539960e-04	3.591378e-02	6.726935e-03
88	4.650262e-04	1.523397e-04	3.614087e-02	6.671035e-03
89	4.712895e-04	1.505738e-04	3.634322e-02	6.618069e-03
90	4.771539e-04	1.487313e-04	3.651849e-02	6.568783e-03
91	4.825495e-04	1.468491e-04	3.666419e-02	6.523829e-03
92	4.874027e-04	1.449684e-04	3.677784e-02	6.483748e-03
93	4.916393e-04	1.431330e-04	3.685705e-02	6.448972e-03
94	4.951880e-04	1.413886e-04	3.689961e-02	6.419834e-03
95	4.979830e-04	1.397806e-04	3.690365e-02	6.396593e-03
96	4.999664e-04	1.383533e-04	3.686763e-02	6.379476e-03
97	5.010886e-04	1.371486e-04	3.679039e-02	6.368719e-03
98	5.013099e-04	1.362045e-04	3.667113e-02	6.364590e-03
99	5.006009e-04	1.355536e-04	3.650943e-02	6.367376e-03
100	4.989432e-04	1.352210e-04	3.630522e-02	6.377369e-03
101	4.963292e-04	1.352220e-04	3.605879e-02	6.394858e-03
102	4.927609e-04	1.355610e-04	3.577066e-02	6.420111e-03
103	4.882498e-04	1.362285e-04	3.544164e-02	6.453314e-03
104	4.828160e-04	1.371975e-04	3.507274e-02	6.494430e-03
105	4.764883e-04	1.384173e-04	3.466522e-02	6.542942e-03
106	4.693042e-04	1.398060e-04	3.422062e-02	6.597511e-03
107	4.613105e-04	1.412434e-04	3.374090e-02	6.655569e-03
108	4.525632e-04	1.425671e-04	3.322851e-02	6.712946e-03
109	4.431284e-04	1.435753e-04	3.268653e-02	6.763672e-03
110	4.330803e-04	1.440398e-04	3.211869e-02	6.800091e-03
111	4.224995e-04	1.437289e-04	3.152935e-02	6.813372e-03
112	4.114688e-04	1.424365e-04	3.092320e-02	6.794403e-03
113	4.000704e-04	1.400106e-04	3.030498e-02	6.734898e-03
114	3.883881e-04	1.363765e-04	2.967932e-02	6.628494e-03
115	3.765183e-04	1.315463e-04	2.905086e-02	6.471480e-03
116	3.645857e-04	1.256138e-04	2.842488e-02	6.262971e-03
117	3.527554e-04	1.187331e-04	2.780776e-02	6.004530e-03
118	3.412282e-04	1.110918e-04	2.720698e-02	5.699734e-03
119	3.302159e-04	1.028947e-04	2.663017e-02	5.354390e-03
120	3.199193e-04	9.434915e-05	2.608432e-02	4.976555e-03
121	3.105236e-04	8.564230e-05	2.557581e-02	4.575600e-03
122	3.021948e-04	7.692138e-05	2.511055e-02	4.161103e-03
123	2.950669e-04	6.828896e-05	2.469349e-02	3.742117e-03
124	2.892250e-04	5.981909e-05	2.432787e-02	3.327079e-03
125	2.846959e-04	5.158477e-05	2.401471e-02	2.923991e-03
126	2.814466e-04	4.368020e-05	2.375264e-02	2.540284e-03
127	2.793939e-04	3.623114e-05	2.353834e-02	2.182271e-03
128	2.784411e-04	2.939783e-05	2.336803e-02	1.854665e-03
129	2.785297e-04	2.338572e-05	2.323953e-02	1.560679e-03
130	2.796723e-04	1.849955e-05	2.315353e-02	1.303187e-03
131	2.819478e-04	1.526775e-05	2.311300e-02	1.087742e-03
132	2.854628e-04	1.442015e-05	2.312137e-02	9.274927e-04
133	2.902985e-04	1.623231e-05	2.318022e-02	8.458411e-04
134	2.964626e-04	2.012067e-05	2.328754e-02	8.644313e-04
135	3.038725e-04	2.533285e-05	2.343753e-02	9.782322e-04
136	3.123801e-04	3.133577e-05	2.362217e-02	1.156010e-03
137	3.218328e-04	3.775103e-05	2.383400e-02	1.363849e-03
138	3.321369e-04	4.429200e-05	2.406844e-02	1.576961e-03
139	3.432867e-04	5.074860e-05	2.432458e-02	1.779509e-03
140	3.553503e-04	5.697173e-05	2.460421e-02	1.961664e-03
141	3.684373e-04	6.285130e-05	2.491036e-02	2.117133e-03
