t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	1.818685e-04	1.118063e-04	1.591829e-02	2.222812e-03
1	3.366763e-04	1.657624e-04	2.317340e-02	4.353613e-03
2	5.772405e-04	2.425213e-04	3.186447e-02	6.956460e-03
3	8.736797e-04	3.449393e-04	4.071239e-02	9.713631e-03
4	1.198794e-03	4.557099e-04	4.932906e-02	1.254923e-02
5	1.535677e-03	5.656723e-04	5.761032e-02	1.542982e-02
6	1.872444e-03	6.697528e-04	6.551111e-02	1.832496e-02
7	2.200862e-03	7.652647e-04	7.300897e-02	2.120246e-02
8	2.515279e-03	8.511107e-04	8.008901e-02	2.402902e-02
9	2.811821e-03	9.271833e-04	8.673795e-02	2.677153e-02
10	3.087903e-03	9.937878e-04	9.294402e-02	2.939700e-02
11	3.341786e-03	1.051355e-03	9.869542e-02	3.187392e-02
12	3.572263e-03	1.100317e-03	1.039797e-01	3.417348e-02
13	3.778496e-03	1.141062e-03	1.087848e-01	3.627061e-02
14	3.960005e-03	1.173982e-03	1.131008e-01	3.814463e-02
15	4.116711e-03	1.199537e-03	1.169218e-01	3.977902e-02
16	4.248913e-03	1.218277e-03	1.202469e-01	4.116119e-02
17	4.357221e-03	1.230830e-03	1.230800e-01	4.228298e-02
18	4.442503e-03	1.237868e-03	1.254303e-01	4.314126e-02
19	4.505878e-03	1.240051e-03	1.273124e-01	4.373784e-02
20	4.548666e-03	1.237980e-03	1.287458e-01	4.407923e-02
21	4.572330e-03	1.232177e-03	1.297545e-01	4.417597e-02
22	4.578414e-03	1.223060e-03	1.303655e-01	4.404204e-02
23	4.568492e-03	1.210950e-03	1.306085e-01	4.369394e-02
24	4.544123e-03	1.196088e-03	1.305140e-01	4.314988e-02
25	4.506821e-03	1.178652e-03	1.301131e-01	4.242898e-02
26	4.458031e-03	1.158779e-03	1.294365e-01	4.155054e-02
27	4.399121e-03	1.136591e-03	1.285141e-01	4.053346e-02
28	4.331390e-03	1.112218e-03	1.273748e-01	3.939582e-02
29	4.256076e-03	1.085817e-03	1.260462e-01	3.815456e-02
30	4.174362e-03	1.057582e-03	1.245546e-01	3.682535e-02
31	4.087377e-03	1.027756e-03	1.229250e-01	3.542255e-02
32	3.996208e-03	9.966315e-04	1.211812e-01	3.395918e-02
33	3.901903e-03	9.645567e-04	1.193458e-01	3.244710e-02
34	3.805475e-03	9.319319e-04	1.174403e-01	3.089702e-02
35	3.707904e-03	8.992068e-04	1.154851e-01	2.931873e-02
36	3.610138e-03	8.668744e-04	1.134997e-01	2.772121e-02
37	3.513094e-03	8.354618e-04	1.115029e-01	2.611287e-02
38	3.417659e-03	8.055186e-04	1.095126e-01	2.450170e-02
39	3.324688e-03	7.776005e-04	1.075460e-01	2.289555e-02
40	3.235006e-03	7.522487e-04	1.056197e-01	2.130234e-02
41	3.149402e-03	7.299635e-04	1.037500e-01	1.973032e-02
42	3.068629e-03	7.111756e-04	1.019522e-01	1.818833e-02
43	2.993401e-03	6.962146e-04	1.002415e-01	1.668602e-02
44	2.924389e-03	6.852818e-04	9.863238e-02	1.523412e-02
45	2.862216e-03	6.784321e-04	9.713856e-02	1.384456e-02
46	2.807457e-03	6.755677e-04	9.577323e-02	1.253067e-02
47	2.760635e-03	6.764488e-04	9.454875e-02	1.130715e-02
48	2.722220e-03	6.807179e-04	9.347648e-02	1.018994e-02
49	2.692626e-03	6.879336e-04	9.256672e-02	9.195575e-03
50	2.672211e-03	6.976078e-04	9.182843e-02	8.340050e-03
51	2.661281e-03	7.092412e-04	9.126905e-02	7.636652e-03
52	2.660086e-03	7.223515e-04	9.089432e-02	7.092978e-03
53	2.668823e-03	7.364950e-04	9.070808e-02	6.707801e-03
54	2.687639e-03	7.512793e-04	9.071209e-02	6.469333e-03
55	2.716632e-03	7.663700e-04	9.090601e-02	6.356340e-03
56	2.755851e-03	7.814923e-04	9.128737e-02	6.342052e-03
57	2.805304e-03	7.964291e-04	9.185162e-02	6.399127e-03
58	2.864951e-03	8.110176e-04	9.259234e-02	6.503607e-03
59	2.934716e-03	8.251439e-04	9.350147e-02	6.636946e-03
60	3.014482e-03	8.387388e-04	9.456956e-02	6.786330e-03
61	3.104098e-03	8.517726e-04	9.578614e-02	6.943973e-03
62	3.203380e-03	8.642509e-04	9.713999e-02	7.106035e-03
63	3.312113e-03	8.762112e-04	9.861948e-02	7.271495e-03
64	3.430058e-03	8.877193e-04	1.002128e-01	7.441182e-03
65	3.556952e-03	8.988666e-04	1.019083e-01	7.616992e-03
66	3.692513e-03	9.097676e-04	1.036945e-01	7.801308e-03
67	3.836446e-03	9.205574e-04	1.055603e-01	7.996576e-03
68	3.988443e-03	9.313886e-04	1.074954e-01	8.205038e-03
69	4.148192e-03	9.424288e-04	1.094899e-01	8.428559e-03
70	4.315377e-03	9.538574e-04	1.115345e-01	8.668558e-03
71	4.489681e-03	9.658624e-04	1.136207e-01	8.925989e-03
