K,Trajectory,Method,Metric,Value
70,1,Reference,Lyapunov Exponent,0.049375
70,1,Baseline,Correlation Dimension,2.197181
70,1,Baseline,Approximate Entropy,0.012407
70,1,Baseline,Lyapunov Exponent,0.073838
70,1,ANI-2,Correlation Dimension,2.073003
70,1,ANI-2,Approximate Entropy,0.012778
70,1,ANI-2,Lyapunov Exponent,0.062664
70,1,ANI-4,Correlation Dimension,2.197181
70,1,ANI-4,Approximate Entropy,0.012336
70,1,ANI-4,Lyapunov Exponent,0.056105
80,1,Reference,Correlation Dimension,1.821599
80,1,Reference,Approximate Entropy,0.017576
80,1,Reference,Lyapunov Exponent,0.331611
80,1,Baseline,Correlation Dimension,1.821599
80,1,Baseline,Approximate Entropy,0.018112
80,1,Baseline,Lyapunov Exponent,0.377334
80,1,ANI-2,Correlation Dimension,1.821599
80,1,ANI-2,Approximate Entropy,0.017928
80,1,ANI-2,Lyapunov Exponent,0.383981
80,1,ANI-4,Correlation Dimension,1.821599
80,1,ANI-4,Approximate Entropy,0.017576
80,1,ANI-4,Lyapunov Exponent,0.331655
90,1,Reference,Correlation Dimension,1.728758
90,1,Reference,Approximate Entropy,0.014993
90,1,Reference,Lyapunov Exponent,0.395989
90,1,Baseline,Correlation Dimension,1.757009
90,1,Baseline,Approximate Entropy,0.021292
90,1,Baseline,Lyapunov Exponent,0.456435
90,1,ANI-2,Correlation Dimension,1.755080
90,1,ANI-2,Approximate Entropy,0.021420
90,1,ANI-2,Lyapunov Exponent,0.420004
90,1,ANI-4,Correlation Dimension,1.728758
90,1,ANI-4,Approximate Entropy,0.014993
90,1,ANI-4,Lyapunov Exponent,0.434847
100,1,Reference,Correlation Dimension,1.722094
100,1,Reference,Approximate Entropy,0.020201
100,1,Reference,Lyapunov Exponent,0.017864
100,1,Baseline,Correlation Dimension,1.680916
100,1,Baseline,Approximate Entropy,0.019850
100,1,Baseline,Lyapunov Exponent,0.127567
100,1,ANI-2,Correlation Dimension,1.734444
100,1,ANI-2,Approximate Entropy,0.020219
100,1,ANI-2,Lyapunov Exponent,0.034441
100,1,ANI-4,Correlation Dimension,1.722094
100,1,ANI-4,Approximate Entropy,0.020201
100,1,ANI-4,Lyapunov Exponent,0.020511
110,1,Reference,Correlation Dimension,1.818188
110,1,Reference,Approximate Entropy,0.038406
110,1,Reference,Lyapunov Exponent,-0.179850
110,1,Baseline,Correlation Dimension,1.716290
110,1,Baseline,Approximate Entropy,0.028405
110,1,Baseline,Lyapunov Exponent,-0.141623
110,1,ANI-2,Correlation Dimension,1.818188
110,1,ANI-2,Approximate Entropy,0.039540
110,1,ANI-2,Lyapunov Exponent,-0.193650
110,1,ANI-4,Correlation Dimension,1.818188
110,1,ANI-4,Approximate Entropy,0.038568
110,1,ANI-4,Lyapunov Exponent,-0.138741
120,1,Reference,Correlation Dimension,1.848901
120,1,Reference,Approximate Entropy,0.039449
120,1,Reference,Lyapunov Exponent,0.248047
120,1,Baseline,Correlation Dimension,1.785662
120,1,Baseline,Approximate Entropy,0.036225
120,1,Baseline,Lyapunov Exponent,0.254290
120,1,ANI-2,Correlation Dimension,1.795630
120,1,ANI-2,Approximate Entropy,0.039684
120,1,ANI-2,Lyapunov Exponent,0.233923
120,1,ANI-4,Correlation Dimension,1.871885
120,1,ANI-4,Approximate Entropy,0.039792
120,1,ANI-4,Lyapunov Exponent,0.258960
130,1,Reference,Correlation Dimension,1.865864
130,1,Reference,Approximate Entropy,0.035566
130,1,Reference,Lyapunov Exponent,0.269542
130,1,Baseline,Correlation Dimension,1.815725
130,1,Baseline,Approximate Entropy,0.032625
130,1,Baseline,Lyapunov Exponent,0.350145
130,1,ANI-2,Correlation Dimension,1.907229
130,1,ANI-2,Approximate Entropy,0.035919
130,1,ANI-2,Lyapunov Exponent,0.233571
130,1,ANI-4,Correlation Dimension,1.875551
130,1,ANI-4,Approximate Entropy,0.035682
130,1,ANI-4,Lyapunov Exponent,0.338773
140,1,Reference,Correlation Dimension,1.913594
140,1,Reference,Approximate Entropy,0.037984
140,1,Reference,Lyapunov Exponent,0.414391
140,1,Baseline,Correlation Dimension,1.833804
140,1,Baseline,Approximate Entropy,0.034976
140,1,Baseline,Lyapunov Exponent,0.403928
140,1,ANI-2,Correlation Dimension,1.913594
140,1,ANI-2,Approximate Entropy,0.038051
140,1,ANI-2,Lyapunov Exponent,0.438106
140,1,ANI-4,Correlation Dimension,1.922934
140,1,ANI-4,Approximate Entropy,0.037999
140,1,ANI-4,Lyapunov Exponent,0.423756
150,1,Reference,Correlation Dimension,2.010019
150,1,Reference,Approximate Entropy,0.034609
150,1,Reference,Lyapunov Exponent,0.473821
150,1,Baseline,Correlation Dimension,1.995335
150,1,Baseline,Approximate Entropy,0.031760
150,1,Baseline,Lyapunov Exponent,0.446154
150,1,ANI-2,Correlation Dimension,2.027867
150,1,ANI-2,Approximate Entropy,0.034783
150,1,ANI-2,Lyapunov Exponent,0.470749
150,1,ANI-4,Correlation Dimension,2.078814
150,1,ANI-4,Approximate Entropy,0.035043
150,1,ANI-4,Lyapunov Exponent,0.484125
160,1,Reference,Correlation Dimension,1.864841
160,1,Reference,Approximate Entropy,0.030275
160,1,Reference,Lyapunov Exponent,0.543862
160,1,Baseline,Correlation Dimension,1.863369
160,1,Baseline,Approximate Entropy,0.034095
160,1,Baseline,Lyapunov Exponent,0.545278
160,1,ANI-2,Correlation Dimension,1.881127
160,1,ANI-2,Approximate Entropy,0.036817
160,1,ANI-2,Lyapunov Exponent,0.541244
160,1,ANI-4,Correlation Dimension,1.864841
160,1,ANI-4,Approximate Entropy,0.030122
160,1,ANI-4,Lyapunov Exponent,0.552653
170,1,Reference,Correlation Dimension,1.778750
170,1,Reference,Approximate Entropy,0.030261
170,1,Reference,Lyapunov Exponent,0.526562
170,1,Baseline,Correlation Dimension,1.765673
170,1,Baseline,Approximate Entropy,0.033565
170,1,Baseline,Lyapunov Exponent,0.519483
170,1,ANI-2,Correlation Dimension,1.758797
170,1,ANI-2,Approximate Entropy,0.036173
170,1,ANI-2,Lyapunov Exponent,0.528475
170,1,ANI-4,Correlation Dimension,1.778750
170,1,ANI-4,Approximate Entropy,0.030115
170,1,ANI-4,Lyapunov Exponent,0.535415
180,1,Reference,Correlation Dimension,1.749661
180,1,Reference,Approximate Entropy,0.043008
180,1,Reference,Lyapunov Exponent,0.661065
180,1,Baseline,Correlation Dimension,1.787252
180,1,Baseline,Approximate Entropy,0.044889
180,1,Baseline,Lyapunov Exponent,0.624524
180,1,ANI-2,Correlation Dimension,1.806180
180,1,ANI-2,Approximate Entropy,0.049468
180,1,ANI-2,Lyapunov Exponent,0.602583
180,1,ANI-4,Correlation Dimension,1.762434
180,1,ANI-4,Approximate Entropy,0.043277
180,1,ANI-4,Lyapunov Exponent,0.648679
190,1,Reference,Correlation Dimension,1.739351
190,1,Reference,Approximate Entropy,0.057315
190,1,Reference,Lyapunov Exponent,0.572773
190,1,Baseline,Correlation Dimension,1.739351
190,1,Baseline,Approximate Entropy,0.061663
190,1,Baseline,Lyapunov Exponent,0.641894
190,1,ANI-2,Correlation Dimension,1.722094
190,1,ANI-2,Approximate Entropy,0.059010
190,1,ANI-2,Lyapunov Exponent,0.593145
190,1,ANI-4,Correlation Dimension,1.745570
190,1,ANI-4,Approximate Entropy,0.052538
190,1,ANI-4,Lyapunov Exponent,0.581381
200,1,Reference,Correlation Dimension,1.824488
200,1,Reference,Approximate Entropy,0.068052
200,1,Reference,Lyapunov Exponent,0.576787
200,1,Baseline,Correlation Dimension,1.849305
200,1,Baseline,Approximate Entropy,0.063213
200,1,Baseline,Lyapunov Exponent,0.577534
200,1,ANI-2,Correlation Dimension,1.868531
200,1,ANI-2,Approximate Entropy,0.069054
200,1,ANI-2,Lyapunov Exponent,0.592579
200,1,ANI-4,Correlation Dimension,1.824488
200,1,ANI-4,Approximate Entropy,0.068493
200,1,ANI-4,Lyapunov Exponent,0.596075
210,1,Reference,Correlation Dimension,2.061352
210,1,Reference,Approximate Entropy,0.067909
210,1,Reference,Lyapunov Exponent,0.516595
210,1,Baseline,Correlation Dimension,1.973224
210,1,Baseline,Approximate Entropy,0.064081
210,1,Baseline,Lyapunov Exponent,0.603512
210,1,ANI-2,Correlation Dimension,2.005263
210,1,ANI-2,Approximate Entropy,0.070316
210,1,ANI-2,Lyapunov Exponent,0.506371
210,1,ANI-4,Correlation Dimension,2.081491
210,1,ANI-4,Approximate Entropy,0.065282
210,1,ANI-4,Lyapunov Exponent,0.535419
220,1,Reference,Correlation Dimension,1.952726
220,1,Reference,Approximate Entropy,0.065119
220,1,Reference,Lyapunov Exponent,0.596150
220,1,Baseline,Correlation Dimension,2.096910
220,1,Baseline,Approximate Entropy,0.061604
220,1,Baseline,Lyapunov Exponent,0.727484
220,1,ANI-2,Correlation Dimension,2.145170
220,1,ANI-2,Approximate Entropy,0.067395
220,1,ANI-2,Lyapunov Exponent,0.705213
220,1,ANI-4,Correlation Dimension,1.959638
220,1,ANI-4,Approximate Entropy,0.063982
220,1,ANI-4,Lyapunov Exponent,0.635683
230,1,Reference,Correlation Dimension,3.266305
230,1,Reference,Approximate Entropy,0.060536
230,1,Reference,Lyapunov Exponent,0.355803
230,1,Baseline,Correlation Dimension,2.192787
230,1,Baseline,Approximate Entropy,0.059291
230,1,Baseline,Lyapunov Exponent,0.517460
230,1,ANI-2,Correlation Dimension,2.201561
230,1,ANI-2,Approximate Entropy,0.066456
230,1,ANI-2,Lyapunov Exponent,0.543113
230,1,ANI-4,Correlation Dimension,3.722164
230,1,ANI-4,Approximate Entropy,0.061553
230,1,ANI-4,Lyapunov Exponent,0.394875
240,1,Reference,Correlation Dimension,2.281707
240,1,Reference,Approximate Entropy,0.061083
240,1,Reference,Lyapunov Exponent,0.308625
240,1,Baseline,Correlation Dimension,2.229231
240,1,Baseline,Approximate Entropy,0.060615
240,1,Baseline,Lyapunov Exponent,0.418220
240,1,ANI-2,Correlation Dimension,2.061957
240,1,ANI-2,Approximate Entropy,0.065254
240,1,ANI-2,Lyapunov Exponent,0.410587
240,1,ANI-4,Correlation Dimension,2.352303
240,1,ANI-4,Approximate Entropy,0.059839
240,1,ANI-4,Lyapunov Exponent,0.318790
250,1,Reference,Correlation Dimension,2.383248
250,1,Reference,Approximate Entropy,0.059491
250,1,Reference,Lyapunov Exponent,0.367308
250,1,Baseline,Correlation Dimension,2.295347
250,1,Baseline,Approximate Entropy,0.058469
250,1,Baseline,Lyapunov Exponent,0.465693
250,1,ANI-2,Correlation Dimension,2.076710
250,1,ANI-2,Approximate Entropy,0.063478
250,1,ANI-2,Lyapunov Exponent,0.444947
250,1,ANI-4,Correlation Dimension,2.448517
250,1,ANI-4,Approximate Entropy,0.060779
250,1,ANI-4,Lyapunov Exponent,0.387026
260,1,Reference,Correlation Dimension,2.428640
260,1,Reference,Approximate Entropy,0.058231
260,1,Reference,Lyapunov Exponent,0.600556
260,1,Baseline,Correlation Dimension,2.170777
260,1,Baseline,Approximate Entropy,0.057754
260,1,Baseline,Lyapunov Exponent,0.625903
260,1,ANI-2,Correlation Dimension,2.001722
260,1,ANI-2,Approximate Entropy,0.060603
260,1,ANI-2,Lyapunov Exponent,0.621756
260,1,ANI-4,Correlation Dimension,2.497276
260,1,ANI-4,Approximate Entropy,0.059429
260,1,ANI-4,Lyapunov Exponent,0.621976
270,1,Reference,Correlation Dimension,2.481265
270,1,Reference,Approximate Entropy,0.056831
270,1,Reference,Lyapunov Exponent,0.668663
270,1,Baseline,Correlation Dimension,2.116552
270,1,Baseline,Approximate Entropy,0.060195
270,1,Baseline,Lyapunov Exponent,0.609312
270,1,ANI-2,Correlation Dimension,1.928562
270,1,ANI-2,Approximate Entropy,0.059997
270,1,ANI-2,Lyapunov Exponent,0.720857
270,1,ANI-4,Correlation Dimension,2.545553
270,1,ANI-4,Approximate Entropy,0.055636
270,1,ANI-4,Lyapunov Exponent,0.645197
280,1,Reference,Correlation Dimension,2.510913
280,1,Reference,Approximate Entropy,0.054803
280,1,Reference,Lyapunov Exponent,0.681832
280,1,Baseline,Correlation Dimension,2.048650
280,1,Baseline,Approximate Entropy,0.065194
280,1,Baseline,Lyapunov Exponent,0.602358
280,1,ANI-2,Correlation Dimension,1.925795
280,1,ANI-2,Approximate Entropy,0.065014
280,1,ANI-2,Lyapunov Exponent,0.712149
280,1,ANI-4,Correlation Dimension,2.516410
280,1,ANI-4,Approximate Entropy,0.056908
280,1,ANI-4,Lyapunov Exponent,0.672979
290,1,Reference,Correlation Dimension,2.471874
290,1,Reference,Approximate Entropy,0.058391
290,1,Reference,Lyapunov Exponent,0.631509
290,1,Baseline,Correlation Dimension,2.062087
290,1,Baseline,Approximate Entropy,0.065891
290,1,Baseline,Lyapunov Exponent,0.486835
290,1,ANI-2,Correlation Dimension,1.887200
290,1,ANI-2,Approximate Entropy,0.063679
290,1,ANI-2,Lyapunov Exponent,0.607578
290,1,ANI-4,Correlation Dimension,2.482446
290,1,ANI-4,Approximate Entropy,0.057962
290,1,ANI-4,Lyapunov Exponent,0.636263
300,1,Reference,Correlation Dimension,2.483755
300,1,Reference,Approximate Entropy,0.059688
300,1,Reference,Lyapunov Exponent,0.613031
300,1,Baseline,Correlation Dimension,3.155706
300,1,Baseline,Approximate Entropy,0.067091
300,1,Baseline,Lyapunov Exponent,0.449125
300,1,ANI-2,Correlation Dimension,1.988273
300,1,ANI-2,Approximate Entropy,0.067300
300,1,ANI-2,Lyapunov Exponent,0.616133
300,1,ANI-4,Correlation Dimension,2.547151
300,1,ANI-4,Approximate Entropy,0.064280
300,1,ANI-4,Lyapunov Exponent,0.618676
310,1,Reference,Correlation Dimension,2.505622
310,1,Reference,Approximate Entropy,0.063627
310,1,Reference,Lyapunov Exponent,0.657517
310,1,Baseline,Correlation Dimension,2.944501
310,1,Baseline,Approximate Entropy,0.064470
310,1,Baseline,Lyapunov Exponent,0.578285
310,1,ANI-2,Correlation Dimension,2.082619
310,1,ANI-2,Approximate Entropy,0.066561
310,1,ANI-2,Lyapunov Exponent,0.673027
310,1,ANI-4,Correlation Dimension,2.567711
310,1,ANI-4,Approximate Entropy,0.065819
310,1,ANI-4,Lyapunov Exponent,0.668332
320,1,Reference,Correlation Dimension,2.540111
320,1,Reference,Approximate Entropy,0.061532
320,1,Reference,Lyapunov Exponent,0.606384
320,1,Baseline,Correlation Dimension,2.992355
320,1,Baseline,Approximate Entropy,0.064585
320,1,Baseline,Lyapunov Exponent,0.518292
320,1,ANI-2,Correlation Dimension,2.131349
320,1,ANI-2,Approximate Entropy,0.065237
320,1,ANI-2,Lyapunov Exponent,0.618503
320,1,ANI-4,Correlation Dimension,2.597383
320,1,ANI-4,Approximate Entropy,0.066388
320,1,ANI-4,Lyapunov Exponent,0.610616
330,1,Reference,Correlation Dimension,2.587530
330,1,Reference,Approximate Entropy,0.063374
330,1,Reference,Lyapunov Exponent,0.544558
330,1,Baseline,Correlation Dimension,3.057135
330,1,Baseline,Approximate Entropy,0.065978
330,1,Baseline,Lyapunov Exponent,0.484710
330,1,ANI-2,Correlation Dimension,2.196349
330,1,ANI-2,Approximate Entropy,0.062999
330,1,ANI-2,Lyapunov Exponent,0.575766
330,1,ANI-4,Correlation Dimension,2.645142
330,1,ANI-4,Approximate Entropy,0.065591
330,1,ANI-4,Lyapunov Exponent,0.555673
340,1,Reference,Correlation Dimension,2.700044
340,1,Reference,Approximate Entropy,0.060830
340,1,Reference,Lyapunov Exponent,0.574225
340,1,Baseline,Correlation Dimension,2.495021
340,1,Baseline,Approximate Entropy,0.065723
340,1,Baseline,Lyapunov Exponent,0.339227
340,1,ANI-2,Correlation Dimension,2.254906
340,1,ANI-2,Approximate Entropy,0.061838
340,1,ANI-2,Lyapunov Exponent,0.600362
340,1,ANI-4,Correlation Dimension,2.695901
340,1,ANI-4,Approximate Entropy,0.067179
340,1,ANI-4,Lyapunov Exponent,0.583411
350,1,Reference,Correlation Dimension,2.722370
350,1,Reference,Approximate Entropy,0.059280
350,1,Reference,Lyapunov Exponent,0.618255
350,1,Baseline,Correlation Dimension,2.434098
350,1,Baseline,Approximate Entropy,0.064691
350,1,Baseline,Lyapunov Exponent,0.383595
350,1,ANI-2,Correlation Dimension,2.220170
350,1,ANI-2,Approximate Entropy,0.060454
350,1,ANI-2,Lyapunov Exponent,0.623108
350,1,ANI-4,Correlation Dimension,2.712316
350,1,ANI-4,Approximate Entropy,0.065062
350,1,ANI-4,Lyapunov Exponent,0.639047
360,1,Reference,Correlation Dimension,2.735211
360,1,Reference,Approximate Entropy,0.062265
360,1,Reference,Lyapunov Exponent,0.667488
360,1,Baseline,Correlation Dimension,2.415555
360,1,Baseline,Approximate Entropy,0.062360
360,1,Baseline,Lyapunov Exponent,0.477580
360,1,ANI-2,Correlation Dimension,2.221088
360,1,ANI-2,Approximate Entropy,0.062319
360,1,ANI-2,Lyapunov Exponent,0.686172
360,1,ANI-4,Correlation Dimension,2.727339
360,1,ANI-4,Approximate Entropy,0.068714
360,1,ANI-4,Lyapunov Exponent,0.696622
370,1,Reference,Correlation Dimension,2.747805
370,1,Reference,Approximate Entropy,0.066680
370,1,Reference,Lyapunov Exponent,0.605576
370,1,Baseline,Correlation Dimension,2.281287
370,1,Baseline,Approximate Entropy,0.061023
370,1,Baseline,Lyapunov Exponent,0.403141
370,1,ANI-2,Correlation Dimension,2.214102
370,1,ANI-2,Approximate Entropy,0.071930
370,1,ANI-2,Lyapunov Exponent,0.621454
370,1,ANI-4,Correlation Dimension,2.744920
370,1,ANI-4,Approximate Entropy,0.069872
370,1,ANI-4,Lyapunov Exponent,0.638765
380,1,Reference,Correlation Dimension,2.783279
380,1,Reference,Approximate Entropy,0.066447
380,1,Reference,Lyapunov Exponent,0.562060
380,1,Baseline,Correlation Dimension,2.272988
380,1,Baseline,Approximate Entropy,0.061745
380,1,Baseline,Lyapunov Exponent,0.272227
380,1,ANI-2,Correlation Dimension,2.280719
380,1,ANI-2,Approximate Entropy,0.075624
380,1,ANI-2,Lyapunov Exponent,0.581652
380,1,ANI-4,Correlation Dimension,2.775969
380,1,ANI-4,Approximate Entropy,0.068976
380,1,ANI-4,Lyapunov Exponent,0.607831
390,1,Reference,Correlation Dimension,2.796767
390,1,Reference,Approximate Entropy,0.063687
390,1,Reference,Lyapunov Exponent,0.564863
390,1,Baseline,Correlation Dimension,2.183898
390,1,Baseline,Approximate Entropy,0.065466
390,1,Baseline,Lyapunov Exponent,0.206622
390,1,ANI-2,Correlation Dimension,2.290965
390,1,ANI-2,Approximate Entropy,0.073005
390,1,ANI-2,Lyapunov Exponent,0.556853
390,1,ANI-4,Correlation Dimension,2.859143
390,1,ANI-4,Approximate Entropy,0.066155
390,1,ANI-4,Lyapunov Exponent,0.609046
400,1,Reference,Correlation Dimension,2.807359
400,1,Reference,Approximate Entropy,0.067153
400,1,Reference,Lyapunov Exponent,0.685262
400,1,Baseline,Correlation Dimension,2.117430
400,1,Baseline,Approximate Entropy,0.063194
400,1,Baseline,Lyapunov Exponent,0.274782
400,1,ANI-2,Correlation Dimension,2.306183
400,1,ANI-2,Approximate Entropy,0.074936
400,1,ANI-2,Lyapunov Exponent,0.668223
400,1,ANI-4,Correlation Dimension,2.870721
400,1,ANI-4,Approximate Entropy,0.069688
400,1,ANI-4,Lyapunov Exponent,0.699724
410,1,Reference,Correlation Dimension,2.824640
410,1,Reference,Approximate Entropy,0.068181
410,1,Reference,Lyapunov Exponent,0.669240
410,1,Baseline,Correlation Dimension,2.046276
410,1,Baseline,Approximate Entropy,0.062879
410,1,Baseline,Lyapunov Exponent,0.256070
410,1,ANI-2,Correlation Dimension,2.282720
410,1,ANI-2,Approximate Entropy,0.078986
410,1,ANI-2,Lyapunov Exponent,0.583034
410,1,ANI-4,Correlation Dimension,2.825492
410,1,ANI-4,Approximate Entropy,0.070417
410,1,ANI-4,Lyapunov Exponent,0.685072
420,1,Reference,Correlation Dimension,2.838977
420,1,Reference,Approximate Entropy,0.070206
420,1,Reference,Lyapunov Exponent,0.635665
420,1,Baseline,Correlation Dimension,1.983925
420,1,Baseline,Approximate Entropy,0.063898
420,1,Baseline,Lyapunov Exponent,0.194642
420,1,ANI-2,Correlation Dimension,2.350559
420,1,ANI-2,Approximate Entropy,0.077930
420,1,ANI-2,Lyapunov Exponent,0.589299
420,1,ANI-4,Correlation Dimension,2.836469
420,1,ANI-4,Approximate Entropy,0.071522
420,1,ANI-4,Lyapunov Exponent,0.664468
430,1,Reference,Correlation Dimension,2.843962
430,1,Reference,Approximate Entropy,0.068656
430,1,Reference,Lyapunov Exponent,0.711279
430,1,Baseline,Correlation Dimension,1.966495
430,1,Baseline,Approximate Entropy,0.062862
430,1,Baseline,Lyapunov Exponent,0.180821
430,1,ANI-2,Correlation Dimension,2.352028
430,1,ANI-2,Approximate Entropy,0.076076
430,1,ANI-2,Lyapunov Exponent,0.652261
430,1,ANI-4,Correlation Dimension,2.912598
430,1,ANI-4,Approximate Entropy,0.071824
430,1,ANI-4,Lyapunov Exponent,0.715604
440,1,Reference,Correlation Dimension,2.851370
440,1,Reference,Approximate Entropy,0.068287
440,1,Reference,Lyapunov Exponent,0.755687
440,1,Baseline,Correlation Dimension,2.009922
440,1,Baseline,Approximate Entropy,0.061912
440,1,Baseline,Lyapunov Exponent,0.294389
440,1,ANI-2,Correlation Dimension,2.320519
440,1,ANI-2,Approximate Entropy,0.079776
440,1,ANI-2,Lyapunov Exponent,0.704233
440,1,ANI-4,Correlation Dimension,2.920006
440,1,ANI-4,Approximate Entropy,0.070518
440,1,ANI-4,Lyapunov Exponent,0.773777
450,1,Reference,Correlation Dimension,2.860310
450,1,Reference,Approximate Entropy,0.076397
450,1,Reference,Lyapunov Exponent,0.848558
450,1,Baseline,Correlation Dimension,1.982311
450,1,Baseline,Approximate Entropy,0.063351
450,1,Baseline,Lyapunov Exponent,0.282053
450,1,ANI-2,Correlation Dimension,2.316231
450,1,ANI-2,Approximate Entropy,0.079640
450,1,ANI-2,Lyapunov Exponent,0.863067
450,1,ANI-4,Correlation Dimension,2.932970
450,1,ANI-4,Approximate Entropy,0.076422
450,1,ANI-4,Lyapunov Exponent,0.815442
460,1,Reference,Correlation Dimension,2.873100
460,1,Reference,Approximate Entropy,0.080029
460,1,Reference,Lyapunov Exponent,0.836288
460,1,Baseline,Correlation Dimension,1.954545
460,1,Baseline,Approximate Entropy,0.062557
460,1,Baseline,Lyapunov Exponent,0.240038
460,1,ANI-2,Correlation Dimension,2.306654
460,1,ANI-2,Approximate Entropy,0.079526
460,1,ANI-2,Lyapunov Exponent,0.878045
460,1,ANI-4,Correlation Dimension,2.943317
460,1,ANI-4,Approximate Entropy,0.079488
460,1,ANI-4,Lyapunov Exponent,0.806948
470,1,Reference,Correlation Dimension,2.886419
470,1,Reference,Approximate Entropy,0.078706
470,1,Reference,Lyapunov Exponent,0.867313
470,1,Baseline,Correlation Dimension,1.986767
470,1,Baseline,Approximate Entropy,0.067757
470,1,Baseline,Lyapunov Exponent,0.188229
470,1,ANI-2,Correlation Dimension,2.385842
470,1,ANI-2,Approximate Entropy,0.081543
470,1,ANI-2,Lyapunov Exponent,0.849298
470,1,ANI-4,Correlation Dimension,2.955830
470,1,ANI-4,Approximate Entropy,0.080402
470,1,ANI-4,Lyapunov Exponent,0.827808
480,1,Reference,Correlation Dimension,2.921885
480,1,Reference,Approximate Entropy,0.075711
480,1,Reference,Lyapunov Exponent,0.748268
480,1,Baseline,Correlation Dimension,2.074444
480,1,Baseline,Approximate Entropy,0.066622
480,1,Baseline,Lyapunov Exponent,0.211899
480,1,ANI-2,Correlation Dimension,2.401714
480,1,ANI-2,Approximate Entropy,0.079388
480,1,ANI-2,Lyapunov Exponent,0.848481
480,1,ANI-4,Correlation Dimension,2.860530
480,1,ANI-4,Approximate Entropy,0.079790
480,1,ANI-4,Lyapunov Exponent,0.744581
490,1,Reference,Correlation Dimension,2.947803
490,1,Reference,Approximate Entropy,0.077813
490,1,Reference,Lyapunov Exponent,0.769193
490,1,Baseline,Correlation Dimension,2.096041
490,1,Baseline,Approximate Entropy,0.065530
490,1,Baseline,Lyapunov Exponent,0.221078
490,1,ANI-2,Correlation Dimension,2.440058
490,1,ANI-2,Approximate Entropy,0.076765
490,1,ANI-2,Lyapunov Exponent,0.849026
490,1,ANI-4,Correlation Dimension,2.778298
490,1,ANI-4,Approximate Entropy,0.079620
490,1,ANI-4,Lyapunov Exponent,0.751322
500,1,Reference,Correlation Dimension,2.974763
500,1,Reference,Approximate Entropy,0.081994
500,1,Reference,Lyapunov Exponent,0.738639
500,1,Baseline,Correlation Dimension,2.112110
500,1,Baseline,Approximate Entropy,0.065793
500,1,Baseline,Lyapunov Exponent,0.221748
500,1,ANI-2,Correlation Dimension,2.378712
500,1,ANI-2,Approximate Entropy,0.077305
500,1,ANI-2,Lyapunov Exponent,0.803590
500,1,ANI-4,Correlation Dimension,2.759621
500,1,ANI-4,Approximate Entropy,0.080621
500,1,ANI-4,Lyapunov Exponent,0.741092
50,2,Reference,Correlation Dimension,1.431364
50,2,Reference,Approximate Entropy,0.007702
50,2,Reference,Lyapunov Exponent,0.948313
50,2,Baseline,Correlation Dimension,1.431364
50,2,Baseline,Approximate Entropy,0.007551
50,2,Baseline,Lyapunov Exponent,0.951702
50,2,ANI-2,Correlation Dimension,1.431364
50,2,ANI-2,Approximate Entropy,0.007551
50,2,ANI-2,Lyapunov Exponent,0.946317
50,2,ANI-4,Correlation Dimension,1.431364
50,2,ANI-4,Approximate Entropy,0.007702
50,2,ANI-4,Lyapunov Exponent,0.944998
60,2,Reference,Correlation Dimension,1.558575
60,2,Reference,Approximate Entropy,0.003235
60,2,Reference,Lyapunov Exponent,0.486324
60,2,Baseline,Correlation Dimension,1.662862
60,2,Baseline,Approximate Entropy,0.003143
60,2,Baseline,Lyapunov Exponent,0.552000
60,2,ANI-2,Correlation Dimension,1.558575
60,2,ANI-2,Approximate Entropy,0.003143
60,2,ANI-2,Lyapunov Exponent,0.517511
60,2,ANI-4,Correlation Dimension,1.558575
60,2,ANI-4,Approximate Entropy,0.003235
60,2,ANI-4,Lyapunov Exponent,0.488133
70,2,Reference,Correlation Dimension,1.460000
70,2,Reference,Approximate Entropy,0.024251
70,2,Reference,Lyapunov Exponent,1.013882
70,2,Baseline,Correlation Dimension,1.577909
70,2,Baseline,Approximate Entropy,0.027708
70,2,Baseline,Lyapunov Exponent,1.002762
70,2,ANI-2,Correlation Dimension,1.488020
70,2,ANI-2,Approximate Entropy,0.024251
70,2,ANI-2,Lyapunov Exponent,1.017927
70,2,ANI-4,Correlation Dimension,1.460000
70,2,ANI-4,Approximate Entropy,0.024594
70,2,ANI-4,Lyapunov Exponent,1.014933
80,2,Reference,Correlation Dimension,1.806180
80,2,Reference,Approximate Entropy,0.023873
80,2,Reference,Lyapunov Exponent,0.566780
80,2,Baseline,Correlation Dimension,1.780880
80,2,Baseline,Approximate Entropy,0.023873
80,2,Baseline,Lyapunov Exponent,0.577152
80,2,ANI-2,Correlation Dimension,1.806180
80,2,ANI-2,Approximate Entropy,0.024051
80,2,ANI-2,Lyapunov Exponent,0.566945
80,2,ANI-4,Correlation Dimension,1.780880
80,2,ANI-4,Approximate Entropy,0.023873
80,2,ANI-4,Lyapunov Exponent,0.542308
90,2,Reference,Correlation Dimension,1.575134
90,2,Reference,Approximate Entropy,0.027164
90,2,Reference,Lyapunov Exponent,0.175434
90,2,Baseline,Correlation Dimension,1.575134
90,2,Baseline,Approximate Entropy,0.027545
90,2,Baseline,Lyapunov Exponent,0.166501
90,2,ANI-2,Correlation Dimension,1.575134
90,2,ANI-2,Approximate Entropy,0.027123
90,2,ANI-2,Lyapunov Exponent,0.154872
90,2,ANI-4,Correlation Dimension,1.661266
