K,Trajectory,Method,Metric,Value
140,0,ANI-2,Approximate Entropy,0.041406
140,0,ANI-2,Lyapunov Exponent,0.073915
140,0,ANI-4,Correlation Dimension,2.440024
140,0,ANI-4,Approximate Entropy,0.047741
140,0,ANI-4,Lyapunov Exponent,0.116955
150,0,Reference,Correlation Dimension,2.462707
150,0,Reference,Approximate Entropy,0.043338
150,0,Reference,Lyapunov Exponent,0.264978
150,0,Baseline,Correlation Dimension,2.376981
150,0,Baseline,Approximate Entropy,0.037787
150,0,Baseline,Lyapunov Exponent,0.220735
150,0,ANI-2,Correlation Dimension,2.465179
150,0,ANI-2,Approximate Entropy,0.039370
150,0,ANI-2,Lyapunov Exponent,0.262829
150,0,ANI-4,Correlation Dimension,2.457734
150,0,ANI-4,Approximate Entropy,0.047834
150,0,ANI-4,Lyapunov Exponent,0.248121
160,0,Reference,Correlation Dimension,2.491772
160,0,Reference,Approximate Entropy,0.039640
160,0,Reference,Lyapunov Exponent,0.230361
160,0,Baseline,Correlation Dimension,2.410033
160,0,Baseline,Approximate Entropy,0.037547
160,0,Baseline,Lyapunov Exponent,0.197473
160,0,ANI-2,Correlation Dimension,2.496493
160,0,ANI-2,Approximate Entropy,0.036183
160,0,ANI-2,Lyapunov Exponent,0.235639
160,0,ANI-4,Correlation Dimension,2.489399
160,0,ANI-4,Approximate Entropy,0.044070
160,0,ANI-4,Lyapunov Exponent,0.230932
170,0,Reference,Correlation Dimension,2.496493
170,0,Reference,Approximate Entropy,0.038168
170,0,Reference,Lyapunov Exponent,0.277982
170,0,Baseline,Correlation Dimension,2.416902
170,0,Baseline,Approximate Entropy,0.035705
170,0,Baseline,Lyapunov Exponent,0.207608
170,0,ANI-2,Correlation Dimension,2.503510
170,0,ANI-2,Approximate Entropy,0.034210
170,0,ANI-2,Lyapunov Exponent,0.268886
170,0,ANI-4,Correlation Dimension,2.484626
170,0,ANI-4,Approximate Entropy,0.041666
170,0,ANI-4,Lyapunov Exponent,0.271919
180,0,Reference,Correlation Dimension,2.510453
180,0,Reference,Approximate Entropy,0.039751
180,0,Reference,Lyapunov Exponent,0.357912
180,0,Baseline,Correlation Dimension,2.432654
180,0,Baseline,Approximate Entropy,0.036650
180,0,Baseline,Lyapunov Exponent,0.347085
180,0,ANI-2,Correlation Dimension,2.519596
180,0,ANI-2,Approximate Entropy,0.034448
180,0,ANI-2,Lyapunov Exponent,0.358209
180,0,ANI-4,Correlation Dimension,2.501179
180,0,ANI-4,Approximate Entropy,0.042959
180,0,ANI-4,Lyapunov Exponent,0.347832
190,0,Reference,Correlation Dimension,2.524120
190,0,Reference,Approximate Entropy,0.040630
190,0,Reference,Lyapunov Exponent,0.284074
190,0,Baseline,Correlation Dimension,2.450203
190,0,Baseline,Approximate Entropy,0.034307
190,0,Baseline,Lyapunov Exponent,0.247795
190,0,ANI-2,Correlation Dimension,2.535294
