t_index	avg_L2_error	avg_relative_error
0	7.516461e-08	1.119220e-03
1	2.713459e-07	2.116499e-03
2	5.801229e-07	3.086438e-03
3	9.949241e-07	4.037381e-03
4	1.509153e-06	4.971500e-03
5	2.116293e-06	5.889563e-03
6	2.810102e-06	6.792001e-03
7	3.584764e-06	7.679244e-03
8	4.434887e-06	8.551725e-03
9	5.355582e-06	9.409929e-03
10	6.342331e-06	1.025429e-02
11	7.390877e-06	1.108515e-02
12	8.497151e-06	1.190272e-02
13	9.657197e-06	1.270713e-02
14	1.086703e-05	1.349837e-02
15	1.212252e-05	1.427626e-02
16	1.341920e-05	1.504041e-02
17	1.475218e-05	1.579025e-02
18	1.611623e-05	1.652509e-02
19	1.750602e-05	1.724421e-02
20	1.891639e-05	1.794704e-02
21	2.034275e-05	1.863324e-02
22	2.178126e-05	1.930271e-02
23	2.322889e-05	1.995561e-02
24	2.468339e-05	2.059235e-02
25	2.614310e-05	2.121341e-02
26	2.760659e-05	2.181931e-02
27	2.907238e-05	2.241043e-02
28	3.053885e-05	2.298706e-02
29	3.200413e-05	2.354935e-02
30	3.346616e-05	2.409732e-02
31	3.492273e-05	2.463091e-02
32	3.637179e-05	2.515008e-02
33	3.781161e-05	2.565486e-02
34	3.924074e-05	2.614533e-02
35	4.065816e-05	2.662167e-02
36	4.206312e-05	2.708412e-02
37	4.345527e-05	2.753301e-02
38	4.483464e-05	2.796875e-02
39	4.620172e-05	2.839189e-02
40	4.755743e-05	2.880305e-02
41	4.890306e-05	2.920296e-02
42	5.024028e-05	2.959244e-02
43	5.157102e-05	2.997236e-02
44	5.289739e-05	3.034364e-02
45	5.422158e-05	3.070720e-02
46	5.554577e-05	3.106392e-02
47	5.687209e-05	3.141468e-02
48	5.820249e-05	3.176026e-02
49	5.953872e-05	3.210138e-02
50	6.088231e-05	3.243868e-02
51	6.223459e-05	3.277270e-02
52	6.359668e-05	3.310391e-02
53	6.496955e-05	3.343272e-02
54	6.635404e-05	3.375947e-02
55	6.775086e-05	3.408444e-02
56	6.916060e-05	3.440788e-02
57	7.058377e-05	3.472996e-02
58	7.202074e-05	3.505083e-02
59	7.347179e-05	3.537056e-02
60	7.493722e-05	3.568924e-02
61	7.641724e-05	3.600692e-02
62	7.791205e-05	3.632361e-02
63	7.942185e-05	3.663934e-02
64	8.094684e-05	3.695411e-02
65	8.248728e-05	3.726793e-02
66	8.404351e-05	3.758085e-02
67	8.561599e-05	3.789293e-02
68	8.720532e-05	3.820425e-02
69	8.881211e-05	3.851493e-02
70	9.043709e-05	3.882507e-02
71	9.208102e-05	3.913482e-02
72	9.374472e-05	3.944431e-02
73	9.542909e-05	3.975369e-02
74	9.713505e-05	4.006312e-02
75	9.886349e-05	4.037273e-02
76	1.006153e-04	4.068266e-02
77	1.023914e-04	4.099301e-02
78	1.041926e-04	4.130389e-02
79	1.060197e-04	4.161536e-02
80	1.078734e-04	4.192748e-02
81	1.097545e-04	4.224029e-02
82	1.116635e-04	4.255382e-02
83	1.136013e-04	4.286809e-02
84	1.155686e-04	4.318312e-02
85	1.175656e-04	4.349889e-02
86	1.195931e-04	4.381538e-02
87	1.216513e-04	4.413259e-02
88	1.237407e-04	4.445047e-02
89	1.258616e-04	4.476900e-02
90	1.280146e-04	4.508821e-02
91	1.302004e-04	4.540812e-02
92	1.324196e-04	4.572875e-02
93	1.346732e-04	4.605017e-02
94	1.369620e-04	4.637245e-02
95	1.392874e-04	4.669569e-02
96	1.416503e-04	4.702000e-02
97	1.440520e-04	4.734549e-02
98	1.464937e-04	4.767229e-02
99	1.489767e-04	4.800054e-02
100	1.515022e-04	4.833037e-02
101	1.540714e-04	4.866193e-02
102	1.566854e-04	4.899535e-02
103	1.593455e-04	4.933079e-02
104	1.620528e-04	4.966840e-02
105	1.648083e-04	5.000831e-02
106	1.676129e-04	5.035068e-02
107	1.704679e-04	5.069567e-02
108	1.733742e-04	5.104344e-02
109	1.763328e-04	5.139416e-02
110	1.793449e-04	5.174799e-02
111	1.824115e-04	5.210511e-02
112	1.855335e-04	5.246567e-02
113	1.887120e-04	5.282984e-02
114	1.919481e-04	5.319778e-02
115	1.952427e-04	5.356965e-02
116	1.985971e-04	5.394559e-02
117	2.020121e-04	5.432576e-02
118	2.054888e-04	5.471026e-02
119	2.090282e-04	5.509923e-02
120	2.126312e-04	5.549277e-02
121	2.162987e-04	5.589096e-02
122	2.200315e-04	5.629387e-02
123	2.238305e-04	5.670157e-02
124	2.276964e-04	5.711408e-02
125	2.316299e-04	5.753144e-02
126	2.356317e-04	5.795364e-02
127	2.397023e-04	5.838067e-02
128	2.438424e-04	5.881249e-02
129	2.480524e-04	5.924907e-02
130	2.523328e-04	5.969036e-02
131	2.566842e-04	6.013627e-02
132	2.611071e-04	6.058674e-02
133	2.656019e-04	6.104168e-02
134	2.701691e-04	6.150099e-02
135	2.748092e-04	6.196456e-02
