t_index	avg_L2_error	avg_relative_error
0	3.411690e-07	2.226456e-03
1	1.298254e-06	4.313508e-03
2	2.839453e-06	6.361869e-03
3	4.945740e-06	8.385485e-03
4	7.599874e-06	1.038915e-02
5	1.078558e-05	1.237494e-02
6	1.448749e-05	1.434397e-02
7	1.869113e-05	1.629699e-02
8	2.338288e-05	1.823454e-02
9	2.854988e-05	2.015696e-02
10	3.418005e-05	2.206457e-02
11	4.026209e-05	2.395759e-02
12	4.678552e-05	2.583631e-02
13	5.374057e-05	2.770094e-02
14	6.111809e-05	2.955172e-02
15	6.890959e-05	3.138889e-02
16	7.710711e-05	3.321265e-02
17	8.570311e-05	3.502319e-02
18	9.469034e-05	3.682067e-02
19	1.040618e-04	3.860521e-02
20	1.138107e-04	4.037691e-02
21	1.239304e-04	4.213587e-02
22	1.344145e-04	4.388216e-02
23	1.452569e-04	4.561584e-02
24	1.564516e-04	4.733700e-02
25	1.679930e-04	4.904572e-02
26	1.798754e-04	5.074210e-02
27	1.920939e-04	5.242627e-02
28	2.046435e-04	5.409841e-02
29	2.175197e-04	5.575872e-02
30	2.307181e-04	5.740741e-02
31	2.442347e-04	5.904475e-02
32	2.580656e-04	6.067105e-02
33	2.722071e-04	6.228662e-02
34	2.866558e-04	6.389181e-02
35	3.014083e-04	6.548697e-02
36	3.164613e-04	6.707246e-02
37	3.318117e-04	6.864867e-02
38	3.474562e-04	7.021593e-02
39	3.633920e-04	7.177462e-02
40	3.796160e-04	7.332510e-02
41	3.961258e-04	7.486773e-02
42	4.129189e-04	7.640290e-02
43	4.299933e-04	7.793099e-02
44	4.473475e-04	7.945241e-02
45	4.649805e-04	8.096759e-02
46	4.828918e-04	8.247696e-02
47	5.010818e-04	8.398095e-02
48	5.195510e-04	8.548000e-02
49	5.383009e-04	8.697451e-02
50	5.573333e-04	8.846483e-02
51	5.766504e-04	8.995129e-02
52	5.962545e-04	9.143412e-02
53	6.161483e-04	9.291354e-02
54	6.363347e-04	9.438965e-02
55	6.568170e-04	9.586255e-02
56	6.775984e-04	9.733228e-02
57	6.986827e-04	9.879887e-02
58	7.200738e-04	1.002623e-01
59	7.417763e-04	1.017226e-01
60	7.637953e-04	1.031798e-01
61	7.861364e-04	1.046339e-01
62	8.088055e-04	1.060850e-01
63	8.318090e-04	1.075331e-01
64	8.551539e-04	1.089784e-01
65	8.788476e-04	1.104208e-01
66	9.028977e-04	1.118607e-01
67	9.273127e-04	1.132980e-01
68	9.521010e-04	1.147329e-01
69	9.772717e-04	1.161657e-01
70	1.002834e-03	1.175965e-01
71	1.028799e-03	1.190256e-01
72	1.055176e-03	1.204532e-01
73	1.081977e-03	1.218796e-01
74	1.109214e-03	1.233052e-01
75	1.136898e-03	1.247304e-01
76	1.165042e-03	1.261555e-01
77	1.193660e-03	1.275810e-01
78	1.222765e-03	1.290074e-01
79	1.252372e-03	1.304351e-01
80	1.282496e-03	1.318648e-01
81	1.313153e-03	1.332971e-01
82	1.344358e-03	1.347325e-01
83	1.376129e-03	1.361717e-01
84	1.408481e-03	1.376153e-01
85	1.441431e-03	1.390640e-01
86	1.474996e-03	1.405184e-01
87	1.509194e-03	1.419793e-01
88	1.544042e-03	1.434472e-01
89	1.579556e-03	1.449228e-01
90	1.615753e-03	1.464067e-01
91	1.652649e-03	1.478995e-01
92	1.690262e-03	1.494019e-01
93	1.728608e-03	1.509143e-01
94	1.767701e-03	1.524372e-01
95	1.807558e-03	1.539713e-01
96	1.848194e-03	1.555168e-01
97	1.889627e-03	1.570744e-01
98	1.931875e-03	1.586445e-01
99	1.974953e-03	1.602275e-01
100	2.018878e-03	1.618238e-01
101	2.063662e-03	1.634335e-01
102	2.109317e-03	1.650569e-01
103	2.155852e-03	1.666940e-01
104	2.203277e-03	1.683447e-01
105	2.251600e-03	1.700092e-01
106	2.300826e-03	1.716872e-01
107	2.350962e-03	1.733786e-01
108	2.402011e-03	1.750833e-01
109	2.453976e-03	1.768009e-01
110	2.506859e-03	1.785311e-01
111	2.560660e-03	1.802736e-01
112	2.615376e-03	1.820280e-01
113	2.671005e-03	1.837939e-01
114	2.727542e-03	1.855707e-01
115	2.784981e-03	1.873578e-01
116	2.843314e-03	1.891549e-01
117	2.902532e-03	1.909612e-01
118	2.962625e-03	1.927762e-01
119	3.023580e-03	1.945992e-01
120	3.085384e-03	1.964296e-01
121	3.148021e-03	1.982666e-01
122	3.211473e-03	2.001095e-01
123	3.275723e-03	2.019577e-01
124	3.340749e-03	2.038104e-01
125	3.406530e-03	2.056668e-01
126	3.473041e-03	2.075260e-01
127	3.540258e-03	2.093875e-01
128	3.608154e-03	2.112503e-01
129	3.676700e-03	2.131136e-01
130	3.745865e-03	2.149766e-01
131	3.815619e-03	2.168386e-01
132	3.885926e-03	2.186986e-01
133	3.956751e-03	2.205558e-01
134	4.028060e-03	2.224095e-01
135	4.099813e-03	2.242588e-01
136	4.171975e-03	2.261029e-01
137	4.244506e-03	2.279411e-01
138	4.317367e-03	2.297726e-01
139	4.390520e-03	2.315967e-01
140	4.463924e-03	2.334127e-01
141	4.537541e-03	2.352200e-01
142	4.611332e-03	2.370179e-01
143	4.685257e-03	2.388059e-01
144	4.759279e-03	2.405833e-01
145	4.833363e-03	2.423497e-01
146	4.907472e-03	2.441045e-01
147	4.981573e-03	2.458475e-01
148	5.055632e-03	2.475781e-01
149	5.129618e-03	2.492960e-01
150	5.203502e-03	2.510009e-01
151	5.277256e-03	2.526925e-01
152	5.350853e-03	2.543706e-01
153	5.424269e-03	2.560349e-01
154	5.497482e-03	2.576852e-01
155	5.570471e-03	2.593214e-01
156	5.643218e-03	2.609435e-01
157	5.715705e-03	2.625513e-01
158	5.787919e-03	2.641447e-01
159	5.859845e-03	2.657237e-01
160	5.931471e-03	2.672884e-01
161	6.002787e-03	2.688388e-01
162	6.073785e-03	2.703749e-01
163	6.144457e-03	2.718968e-01
164	6.214796e-03	2.734046e-01
165	6.284797e-03	2.748983e-01
166	6.354455e-03	2.763782e-01
167	6.423767e-03	2.778444e-01
168	6.492729e-03	2.792969e-01
169	6.561337e-03	2.807359e-01
170	6.629589e-03	2.821616e-01
171	6.697482e-03	2.835741e-01
172	6.765013e-03	2.849736e-01
173	6.832181e-03	2.863603e-01
174	6.898983e-03	2.877342e-01
175	6.965416e-03	2.890955e-01
176	7.031478e-03	2.904445e-01
177	7.097165e-03	2.917811e-01
178	7.162474e-03	2.931056e-01
179	7.227403e-03	2.944181e-01
180	7.291949e-03	2.957187e-01
181	7.356110e-03	2.970076e-01
182	7.419883e-03	2.982850e-01
183	7.483267e-03	2.995509e-01
184	7.546260e-03	3.008056e-01
185	7.608860e-03	3.020491e-01
186	7.671067e-03	3.032817e-01
187	7.732880e-03	3.045035e-01
188	7.794300e-03	3.057146e-01
189	7.855326e-03	3.069153e-01
190	7.915961e-03	3.081056e-01
191	7.976207e-03	3.092858e-01
192	8.036066e-03	3.104560e-01
193	8.095543e-03	3.116165e-01
194	8.154641e-03	3.127675e-01
195	8.213364e-03	3.139090e-01
196	8.271719e-03	3.150413e-01
197	8.329710e-03	3.161647e-01
198	8.387344e-03	3.172792e-01
199	8.444627e-03	3.183851e-01
200	8.501568e-03	3.194826e-01
201	8.558173e-03	3.205719e-01
202	8.614451e-03	3.216532e-01
203	8.670412e-03	3.227266e-01
204	8.726065e-03	3.237925e-01
205	8.781419e-03	3.248510e-01
