t_index	avg_L2_error	avg_relative_error
0	3.868383e-08	7.799669e-04
1	1.413209e-07	1.468521e-03
2	3.032236e-07	2.135233e-03
3	5.236131e-07	2.796112e-03
4	7.999522e-07	3.451409e-03
5	1.128772e-06	4.099563e-03
6	1.505618e-06	4.738448e-03
7	1.926230e-06	5.366982e-03
8	2.386875e-06	5.984897e-03
9	2.884101e-06	6.592129e-03
10	3.414909e-06	7.188895e-03
11	3.976583e-06	7.775532e-03
12	4.567093e-06	8.352634e-03
13	5.184417e-06	8.920525e-03
14	5.827245e-06	9.479763e-03
15	6.494433e-06	1.003078e-02
16	7.184912e-06	1.057391e-02
17	7.897412e-06	1.110928e-02
18	8.629926e-06	1.163663e-02
19	9.379706e-06	1.215533e-02
20	1.014334e-05	1.266455e-02
21	1.091711e-05	1.316343e-02
22	1.169745e-05	1.365125e-02
23	1.248090e-05	1.412738e-02
24	1.326469e-05	1.459150e-02
25	1.404642e-05	1.504345e-02
26	1.482411e-05	1.548322e-02
27	1.559601e-05	1.591089e-02
28	1.636057e-05	1.632660e-02
29	1.711638e-05	1.673053e-02
30	1.786234e-05	1.712293e-02
31	1.859759e-05	1.750410e-02
32	1.932127e-05	1.787430e-02
33	2.003270e-05	1.823377e-02
34	2.073153e-05	1.858281e-02
35	2.141771e-05	1.892180e-02
36	2.209143e-05	1.925111e-02
37	2.275327e-05	1.957119e-02
38	2.340400e-05	1.988255e-02
39	2.404467e-05	2.018570e-02
40	2.467651e-05	2.048123e-02
41	2.530094e-05	2.076972e-02
42	2.591943e-05	2.105179e-02
43	2.653339e-05	2.132797e-02
44	2.714421e-05	2.159882e-02
45	2.775314e-05	2.186482e-02
46	2.836127e-05	2.212637e-02
47	2.896953e-05	2.238386e-02
48	2.957868e-05	2.263758e-02
49	3.018925e-05	2.288775e-02
50	3.080175e-05	2.313459e-02
51	3.141668e-05	2.337829e-02
52	3.203449e-05	2.361904e-02
53	3.265551e-05	2.385699e-02
54	3.328010e-05	2.409230e-02
55	3.390856e-05	2.432508e-02
56	3.454109e-05	2.455545e-02
57	3.517789e-05	2.478349e-02
58	3.581915e-05	2.500932e-02
59	3.646512e-05	2.523303e-02
