t_index	avg_L2_error	avg_relative_error
0	1.349269e-08	4.847554e-04
1	4.611951e-08	8.933456e-04
2	9.452212e-08	1.270100e-03
3	1.585427e-07	1.634584e-03
4	2.374417e-07	1.990458e-03
5	3.306623e-07	2.339835e-03
6	4.375066e-07	2.683364e-03
7	5.572174e-07	3.021182e-03
8	6.892533e-07	3.353605e-03
9	8.329461e-07	3.680414e-03
10	9.875792e-07	4.001385e-03
11	1.152560e-06	4.317299e-03
12	1.326986e-06	4.628154e-03
13	1.509761e-06	4.933448e-03
14	1.699651e-06	5.232528e-03
15	1.895536e-06	5.524930e-03
16	2.096551e-06	5.810506e-03
17	2.302113e-06	6.089414e-03
18	2.511878e-06	6.362007e-03
19	2.725682e-06	6.628735e-03
20	2.943415e-06	6.890074e-03
21	3.164937e-06	7.146408e-03
22	3.389978e-06	7.397948e-03
23	3.618113e-06	7.644725e-03
24	3.848822e-06	7.886660e-03
25	4.081542e-06	8.123618e-03
26	4.315620e-06	8.355395e-03
27	4.550427e-06	8.581820e-03
28	4.785502e-06	8.802876e-03
29	5.020561e-06	9.018677e-03
30	5.255432e-06	9.229425e-03
31	5.490038e-06	9.435377e-03
32	5.724447e-06	9.636862e-03
33	5.958821e-06	9.834255e-03
34	6.193321e-06	1.002789e-02
35	6.427996e-06	1.021796e-02
36	6.663026e-06	1.040475e-02
37	6.898534e-06	1.058845e-02
38	7.134633e-06	1.076924e-02
39	7.371247e-06	1.094715e-02
40	7.608211e-06	1.112212e-02
41	7.845485e-06	1.129423e-02
42	8.083233e-06	1.146365e-02
43	8.321898e-06	1.163076e-02
44	8.561994e-06	1.179594e-02
45	8.804006e-06	1.195958e-02
46	9.048452e-06	1.212204e-02
47	9.295703e-06	1.228359e-02
48	9.545985e-06	1.244442e-02
49	9.799393e-06	1.260461e-02
50	1.005608e-05	1.276426e-02
51	1.031616e-05	1.292345e-02
52	1.057979e-05	1.308225e-02
53	1.084702e-05	1.324067e-02
54	1.111789e-05	1.339867e-02
55	1.139231e-05	1.355616e-02
56	1.167025e-05	1.371304e-02
57	1.195163e-05	1.386923e-02
58	1.223637e-05	1.402468e-02
59	1.252441e-05	1.417937e-02
60	1.281566e-05	1.433329e-02
61	1.311001e-05	1.448648e-02
62	1.340740e-05	1.463901e-02
63	1.370778e-05	1.479096e-02
64	1.401117e-05	1.494242e-02
65	1.431762e-05	1.509348e-02
