battery_key,data_path,norm_cycle_feature,n_steps,mse,mae,rmse,max_abs_error
B0005,./dataset/processed_battery_data_rollout.pt,0.8982035928143712,304,0.007469739630329582,0.05157476549177662,0.08642765547166938,0.44460852308151155
B0005,./dataset/processed_battery_data_rollout.pt,0.9041916167664671,302,0.006518451450687753,0.04702486589798203,0.08073692742907519,0.3954467065782934
B0005,./dataset/processed_battery_data_rollout.pt,0.9101796407185628,301,0.005271296466813768,0.040967646329190276,0.07260369458101817,0.365146327497226
B0005,./dataset/processed_battery_data_rollout.pt,0.9161676646706587,301,0.0055169524661665146,0.043746365809304126,0.0742761904392418,0.3622096375905106
B0005,./dataset/processed_battery_data_rollout.pt,0.9221556886227545,300,0.006656906133254972,0.0503427047212853,0.08158986538323845,0.3913240544253105
B0005,./dataset/processed_battery_data_rollout.pt,0.9281437125748503,300,0.0053983458077730105,0.041879033926187324,0.07347343606891549,0.3292418566177324
B0005,./dataset/processed_battery_data_rollout.pt,0.9341317365269461,299,0.0064824448492071555,0.04927175379197064,0.0805136314496319,0.3689578122408492
B0005,./dataset/processed_battery_data_rollout.pt,0.9401197604790419,299,0.007515278326159025,0.052083887972908145,0.08669070495825389,0.35677273627203077
B0005,./dataset/processed_battery_data_rollout.pt,0.9461077844311377,298,0.0070279632165990095,0.05041885500411603,0.0838329482757168,0.3718291458771952
B0005,./dataset/processed_battery_data_rollout.pt,0.9520958083832335,298,0.007707812906371803,0.05443885234332768,0.08779415075260881,0.37591052258665414
B0005,./dataset/processed_battery_data_rollout.pt,0.9580838323353293,297,0.008232171464989418,0.05720521858962115,0.09073131468787068,0.38250306468883366
B0005,./dataset/processed_battery_data_rollout.pt,0.9640718562874252,297,0.008587320835082466,0.06105326463477766,0.09266779826391941,0.40129430915190145
B0005,./dataset/processed_battery_data_rollout.pt,0.9700598802395209,297,0.009188230429811753,0.061557672730406236,0.09585525770562485,0.3781287567648497
B0005,./dataset/processed_battery_data_rollout.pt,0.9760479041916168,296,0.011246460084507925,0.07232213240274134,0.10604932854340911,0.4354290263702203
B0005,./dataset/processed_battery_data_rollout.pt,0.9820359281437125,296,0.0101972374658234,0.06729924544325774,0.10098137187532857,0.41311627260211736
B0005,./dataset/processed_battery_data_rollout.pt,0.9880239520958084,296,0.011096368006481968,0.07282365835152718,0.10533929943986702,0.4358604478681416
B0005,./dataset/processed_battery_data_rollout.pt,0.9940119760479041,297,0.01718779691052831,0.09068830870638485,0.131102238388703,0.5529792289222044
B0005,./dataset/processed_battery_data_rollout.pt,1.0,299,0.021023556146443852,0.10624702539189287,0.14499502110915344,0.5742322096654648
