battery_key,data_path,norm_cycle_feature,n_steps,mse,mae,rmse,max_abs_error
B0005,./dataset/processed_battery_data_rollout.pt,0.8982035928143712,304,0.003566572425340456,0.0365052589678517,0.05972078721300027,0.34220127077456963
B0005,./dataset/processed_battery_data_rollout.pt,0.9041916167664671,302,0.001926999980344095,0.025489444313633668,0.04389760791141238,0.28724192950537475
B0005,./dataset/processed_battery_data_rollout.pt,0.9101796407185628,301,0.0016348793585205465,0.021775003794310827,0.040433641420487304,0.22172117021051108
B0005,./dataset/processed_battery_data_rollout.pt,0.9161676646706587,301,0.001411744965228372,0.020001221856022877,0.03757319477005345,0.21282418561343874
B0005,./dataset/processed_battery_data_rollout.pt,0.9221556886227545,300,0.0014218878412795588,0.01814178582854007,0.03770792809582036,0.25112075228115804
B0005,./dataset/processed_battery_data_rollout.pt,0.9281437125748503,300,0.001204592407495843,0.016641033953101292,0.03470723854609933,0.2777191675196322
B0005,./dataset/processed_battery_data_rollout.pt,0.9341317365269461,299,0.001055767311863936,0.015952613001679765,0.03249257318009665,0.2832904319736911
B0005,./dataset/processed_battery_data_rollout.pt,0.9401197604790419,299,0.0006289596051710915,0.013155103120804966,0.02507906707138628,0.16786473209517583
B0005,./dataset/processed_battery_data_rollout.pt,0.9461077844311377,298,0.0011009592733539537,0.015633516729842388,0.03318070634199871,0.2411897410598951
B0005,./dataset/processed_battery_data_rollout.pt,0.9520958083832335,298,0.001520292819041762,0.015804495589094532,0.03899093252336704,0.3370814292360622
B0005,./dataset/processed_battery_data_rollout.pt,0.9580838323353293,297,0.0014362584241995643,0.01612576139473797,0.03789800026649908,0.2993126151896419
B0005,./dataset/processed_battery_data_rollout.pt,0.9640718562874252,297,0.0013719291638657316,0.01574603988578842,0.03703956214462762,0.3070848793510401
B0005,./dataset/processed_battery_data_rollout.pt,0.9700598802395209,297,0.0010298677050470232,0.014753088785783783,0.03209155192643421,0.288611336269053
B0005,./dataset/processed_battery_data_rollout.pt,0.9760479041916168,296,0.0006015865920837384,0.012926868938023785,0.02452726222153093,0.16872479939915408
B0005,./dataset/processed_battery_data_rollout.pt,0.9820359281437125,296,0.001207762415537592,0.016096238255861834,0.03475287636351259,0.2477170850940844
B0005,./dataset/processed_battery_data_rollout.pt,0.9880239520958084,296,0.0011816736042291837,0.01510334103398924,0.03437547969453203,0.34509474733151047
B0005,./dataset/processed_battery_data_rollout.pt,0.9940119760479041,297,0.00208311692803723,0.026601740546052296,0.04564117579595458,0.284867482352575
B0005,./dataset/processed_battery_data_rollout.pt,1.0,299,0.004593921300781897,0.04376821381508385,0.0677784722517548,0.3574793183301579
