t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	1.485807e-04	6.635888e-05	1.500469e-02	2.713185e-03
1	9.803563e-05	5.598759e-05	1.254921e-02	2.168847e-03
2	8.843258e-05	5.273392e-05	1.247443e-02	2.611157e-03
3	8.669814e-05	5.061424e-05	1.295740e-02	3.145155e-03
4	8.882018e-05	4.985998e-05	1.371439e-02	3.772871e-03
5	9.274752e-05	4.957835e-05	1.459115e-02	4.458300e-03
6	9.724537e-05	4.924266e-05	1.547838e-02	5.147907e-03
7	1.017181e-04	4.888041e-05	1.630753e-02	5.789502e-03
8	1.058946e-04	4.859568e-05	1.704092e-02	6.344315e-03
9	1.096587e-04	4.842695e-05	1.765984e-02	6.782666e-03
10	1.129961e-04	4.832620e-05	1.816111e-02	7.088339e-03
11	1.159833e-04	4.821867e-05	1.855489e-02	7.259850e-03
12	1.187506e-04	4.803165e-05	1.885972e-02	7.305772e-03
13	1.214443e-04	4.771244e-05	1.909803e-02	7.243095e-03
14	1.241829e-04	4.723432e-05	1.929089e-02	7.093423e-03
15	1.270238e-04	4.658340e-05	1.945389e-02	6.877679e-03
16	1.299702e-04	4.575442e-05	1.959708e-02	6.614950e-03
17	1.329874e-04	4.474330e-05	1.972604e-02	6.321870e-03
18	1.360302e-04	4.354698e-05	1.984392e-02	6.012498e-03
19	1.390646e-04	4.216902e-05	1.995311e-02	5.698453e-03
20	1.420720e-04	4.062691e-05	2.005580e-02	5.389327e-03
21	1.450468e-04	3.895766e-05	2.015406e-02	5.093149e-03
22	1.479912e-04	3.721886e-05	2.024975e-02	4.816700e-03
23	1.509113e-04	3.548721e-05	2.034441e-02	4.565654e-03
24	1.538156e-04	3.385742e-05	2.043933e-02	4.344630e-03
25	1.567150e-04	3.243840e-05	2.053569e-02	4.157139e-03
26	1.596220e-04	3.134348e-05	2.063457e-02	4.005434e-03
27	1.625491e-04	3.067380e-05	2.073696e-02	3.890313e-03
28	1.655071e-04	3.049873e-05	2.084370e-02	3.810985e-03
29	1.685045e-04	3.084011e-05	2.095553e-02	3.765092e-03
30	1.715465e-04	3.166806e-05	2.107300e-02	3.748919e-03
31	1.746346e-04	3.291039e-05	2.119651e-02	3.757753e-03
32	1.777668e-04	3.447016e-05	2.132630e-02	3.786322e-03
33	1.809374e-04	3.624329e-05	2.146243e-02	3.829202e-03
34	1.841375e-04	3.813112e-05	2.160477e-02	3.881156e-03
35	1.873554e-04	4.004693e-05	2.175308e-02	3.937358e-03
36	1.905777e-04	4.191832e-05	2.190694e-02	3.993534e-03
37	1.937896e-04	4.368725e-05	2.206587e-02	4.046035e-03
38	1.969760e-04	4.530926e-05	2.222927e-02	4.091873e-03
39	2.001220e-04	4.675282e-05	2.239650e-02	4.128741e-03
40	2.032136e-04	4.799885e-05	2.256684e-02	4.155033e-03
41	2.062379e-04	4.904074e-05	2.273955e-02	4.169857e-03
42	2.091837e-04	4.988454e-05	2.291381e-02	4.173054e-03
43	2.120411e-04	5.054923e-05	2.308876e-02	4.165202e-03
44	2.148020e-04	5.106672e-05	2.326350e-02	4.147600e-03
45	2.174597e-04	5.148138e-05	2.343711e-02	4.122238e-03
46	2.200093e-04	5.184880e-05	2.360865e-02	4.091724e-03
47	2.224472e-04	5.223341e-05	2.377720e-02	4.059185e-03
48	2.247714e-04	5.270498e-05	2.394190e-02	4.028134e-03
49	2.269817e-04	5.333386e-05	2.410194e-02	4.002289e-03
50	2.290793e-04	5.418541e-05	2.425666e-02	3.985369e-03
51	2.310675e-04	5.531427e-05	2.440550e-02	3.980865e-03
52	2.329513e-04	5.675954e-05	2.454808e-02	3.991797e-03
53	2.347377e-04	5.854154e-05	2.468420e-02	4.020495e-03
54	2.364355e-04	6.066103e-05	2.481384e-02	4.068421e-03
55	2.380559e-04	6.310067e-05	2.493720e-02	4.136066e-03
56	2.396117e-04	6.582813e-05	2.505469e-02	4.222931e-03
57	2.411175e-04	6.880029e-05	2.516691e-02	4.327597e-03
58	2.425900e-04	7.196740e-05	2.527468e-02	4.447850e-03
59	2.440468e-04	7.527685e-05	2.537902e-02	4.580859e-03
60	2.455071e-04	7.867623e-05	2.548110e-02	4.723356e-03
61	2.469908e-04	8.211555e-05	2.558226e-02	4.871815e-03
62	2.485181e-04	8.554884e-05	2.568393e-02	5.022613e-03
63	2.501097e-04	8.893512e-05	2.578765e-02	5.172165e-03
64	2.517858e-04	9.223891e-05	2.589496e-02	5.317042e-03
65	2.535664e-04	9.543057e-05	2.600739e-02	5.454072e-03
66	2.554702e-04	9.848632e-05	2.612638e-02	5.580432e-03
67	2.575151e-04	1.013882e-04	2.625324e-02	5.693724e-03
68	2.597177e-04	1.041241e-04	2.638911e-02	5.792052e-03
69	2.620928e-04	1.066873e-04	2.653486e-02	5.874073e-03
70	2.646538e-04	1.090770e-04	2.669111e-02	5.939044e-03
71	2.674123e-04	1.112975e-04	2.685820e-02	5.986831e-03
72	2.703782e-04	1.133581e-04	2.703615e-02	6.017903e-03
73	2.735596e-04	1.152728e-04	2.722470e-02	6.033283e-03
74	2.769629e-04	1.170595e-04	2.742337e-02	6.034480e-03
75	2.805931e-04	1.187393e-04	2.763142e-02	6.023387e-03
76	2.844536e-04	1.203357e-04	2.784801e-02	6.002165e-03
77	2.885467e-04	1.218730e-04	2.807215e-02	5.973121e-03
78	2.928740e-04	1.233755e-04	2.830285e-02	5.938579e-03
79	2.974359e-04	1.248664e-04	2.853908e-02	5.900761e-03
80	3.022323e-04	1.263665e-04	2.877985e-02	5.861686e-03
81	3.072619e-04	1.278934e-04	2.902421e-02	5.823087e-03
82	3.125222e-04	1.294606e-04	2.927124e-02	5.786351e-03
83	3.180090e-04	1.310776e-04	2.952004e-02	5.752493e-03
84	3.237156e-04	1.327493e-04	2.976967e-02	5.722157e-03
85	3.296324e-04	1.344769e-04	3.001919e-02	5.695638e-03
86	3.357469e-04	1.362579e-04	3.026755e-02	5.672935e-03
87	3.420440e-04	1.380868e-04	3.051372e-02	5.653810e-03
88	3.485078e-04	1.399553e-04	3.075668e-02	5.637829e-03
89	3.551238e-04	1.418512e-04	3.099562e-02	5.624399e-03
90	3.618828e-04	1.437573e-04	3.123008e-02	5.612788e-03
91	3.687827e-04	1.456522e-04	3.146002e-02	5.602175e-03
92	3.758288e-04	1.475119e-04	3.168581e-02	5.591764e-03
93	3.830284e-04	1.493157e-04	3.190785e-02	5.580961e-03
94	3.903825e-04	1.510518e-04	3.212620e-02	5.569557e-03
95	3.978798e-04	1.527206e-04	3.234023e-02	5.557815e-03
96	4.054968e-04	1.543350e-04	3.254872e-02	5.546420e-03
97	4.132048e-04	1.559153e-04	3.275022e-02	5.536316e-03
98	4.209777e-04	1.574858e-04	3.294351e-02	5.528562e-03
99	4.287986e-04	1.590737e-04	3.312779e-02	5.524269e-03
100	4.366615e-04	1.607107e-04	3.330277e-02	5.524595e-03
101	4.445712e-04	1.624337e-04	3.346861e-02	5.530693e-03
102	4.525395e-04	1.642819e-04	3.362572e-02	5.543578e-03
103	4.605802e-04	1.662913e-04	3.377466e-02	5.563952e-03
104	4.687055e-04	1.684897e-04	3.391596e-02	5.592100e-03
105	4.769248e-04	1.708946e-04	3.405009e-02	5.627922e-03
106	4.852477e-04	1.735136e-04	3.417763e-02	5.671065e-03
107	4.936916e-04	1.763475e-04	3.429948e-02	5.721119e-03
108	5.022857e-04	1.793939e-04	3.441693e-02	5.777786e-03
109	5.110663e-04	1.826521e-04	3.453150e-02	5.840979e-03
110	5.200667e-04	1.861274e-04	3.464445e-02	5.910817e-03
111	5.293089e-04	1.898307e-04	3.475658e-02	5.987542e-03
112	5.388071e-04	1.937744e-04	3.486835e-02	6.071407e-03
113	5.485717e-04	1.979683e-04	3.498012e-02	6.162560e-03
114	5.586137e-04	2.024184e-04	3.509231e-02	6.260986e-03
115	5.689677e-04	2.071272e-04	3.520613e-02	6.366577e-03
116	5.797461e-04	2.120931e-04	3.532531e-02	6.479491e-03
117	5.911807e-04	2.173199e-04	3.545710e-02	6.600669e-03
118	6.036006e-04	2.228331e-04	3.561121e-02	6.732186e-03
119	6.173564e-04	2.287013e-04	3.579697e-02	6.877300e-03
120	6.327226e-04	2.350525e-04	3.602023e-02	7.040066e-03
121	6.498169e-04	2.420635e-04	3.628120e-02	7.224206e-03
122	6.685927e-04	2.499108e-04	3.657506e-02	7.431682e-03
123	6.889193e-04	2.587164e-04	3.689517e-02	7.661828e-03
124	7.107206e-04	2.685306e-04	3.723729e-02	7.911456e-03
125	7.340965e-04	2.793409e-04	3.760289e-02	8.175350e-03
126	7.593309e-04	2.910719e-04	3.799895e-02	8.445816e-03
127	7.868379e-04	3.035745e-04	3.843634e-02	8.711754e-03
128	8.171300e-04	3.166180e-04	3.892850e-02	8.958879e-03
129	8.507915e-04	3.299083e-04	3.949009e-02	9.171610e-03
130	8.884614e-04	3.431612e-04	4.013524e-02	9.336872e-03
131	9.308521e-04	3.562076e-04	4.087653e-02	9.447994e-03
132	9.787766e-04	3.690793e-04	4.172474e-02	9.506730e-03
133	1.033119e-03	3.820944e-04	4.268760e-02	9.524005e-03
134	1.094734e-03	3.959589e-04	4.376773e-02	9.519828e-03
135	1.164388e-03	4.118539e-04	4.496214e-02	9.521784e-03
136	1.242838e-03	4.315027e-04	4.626538e-02	9.563113e-03
137	1.330907e-03	4.571274e-04	4.767208e-02	9.679150e-03
138	1.429353e-03	4.910839e-04	4.917587e-02	9.899308e-03
139	1.538671e-03	5.353008e-04	5.076716e-02	1.023953e-02
140	1.658997e-03	5.908205e-04	5.243290e-02	1.069952e-02
141	1.790103e-03	6.575308e-04	5.415816e-02	1.126290e-02
142	1.931251e-03	7.339350e-04	5.592537e-02	1.189760e-02
143	2.081275e-03	8.173842e-04	5.771647e-02	1.256194e-02
144	2.240088e-03	9.061548e-04	5.953015e-02	1.323062e-02
145	2.409654e-03	1.000887e-03	6.138836e-02	1.390677e-02
146	2.592911e-03	1.103450e-03	6.331953e-02	1.460443e-02
147	2.792079e-03	1.214969e-03	6.533972e-02	1.532731e-02
148	3.007696e-03	1.334725e-03	6.744542e-02	1.606128e-02
149	3.239142e-03	1.461027e-03	6.962183e-02	1.678704e-02
150	3.485133e-03	1.591881e-03	7.184916e-02	1.748755e-02
151	3.743854e-03	1.724911e-03	7.410527e-02	1.814659e-02
152	4.013523e-03	1.857729e-03	7.637151e-02	1.875053e-02
153	4.293322e-03	1.988930e-03	7.863980e-02	1.929456e-02
154	4.583659e-03	2.118403e-03	8.091288e-02	1.978306e-02
155	4.885735e-03	2.246903e-03	8.319894e-02	2.022532e-02
156	5.200993e-03	2.375630e-03	8.550638e-02	2.063259e-02
157	5.530733e-03	2.506020e-03	8.784064e-02	2.101686e-02
158	5.875914e-03	2.639615e-03	9.020346e-02	2.138997e-02
159	6.237196e-03	2.777923e-03	9.259406e-02	2.176239e-02
160	6.615118e-03	2.922341e-03	9.501117e-02	2.214238e-02
161	7.010059e-03	3.074015e-03	9.745315e-02	2.253532e-02
162	7.421891e-03	3.233528e-03	9.991600e-02	2.294255e-02
163	7.849816e-03	3.400663e-03	1.023929e-01	2.336091e-02
