t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	2.846399e-04	1.359316e-04	2.026784e-02	3.475436e-03
1	4.084172e-04	1.716021e-04	2.566304e-02	4.044167e-03
2	6.508027e-04	2.699255e-04	3.370877e-02	6.302477e-03
3	9.490313e-04	3.996570e-04	4.206552e-02	8.654985e-03
4	1.271793e-03	5.411450e-04	5.020577e-02	1.104957e-02
5	1.600227e-03	6.836380e-04	5.797536e-02	1.348307e-02
6	1.921702e-03	8.205602e-04	6.531417e-02	1.593785e-02
7	2.227539e-03	9.477277e-04	7.219180e-02	1.838280e-02
8	2.511730e-03	1.062326e-03	7.858770e-02	2.077706e-02
9	2.770234e-03	1.162362e-03	8.448586e-02	2.307471e-02
10	3.000675e-03	1.246617e-03	8.987494e-02	2.522838e-02
11	3.202198e-03	1.314826e-03	9.474967e-02	2.719227e-02
12	3.375121e-03	1.367526e-03	9.911041e-02	2.892495e-02
13	3.520658e-03	1.405841e-03	1.029638e-01	3.039286e-02
14	3.640723e-03	1.431294e-03	1.063241e-01	3.157326e-02
15	3.737646e-03	1.445674e-03	1.092116e-01	3.245501e-02
16	3.813876e-03	1.450927e-03	1.116504e-01	3.303798e-02
17	3.871807e-03	1.448969e-03	1.136672e-01	3.333190e-02
18	3.913682e-03	1.441529e-03	1.152905e-01	3.335460e-02
19	3.941592e-03	1.430126e-03	1.165507e-01	3.313021e-02
20	3.957464e-03	1.416087e-03	1.174791e-01	3.268716e-02
21	3.963044e-03	1.400600e-03	1.181069e-01	3.205610e-02
22	3.959903e-03	1.384757e-03	1.184646e-01	3.126888e-02
23	3.949465e-03	1.369596e-03	1.185818e-01	3.035810e-02
24	3.933034e-03	1.356117e-03	1.184870e-01	2.935688e-02
25	3.911817e-03	1.345300e-03	1.182076e-01	2.829855e-02
26	3.886949e-03	1.338104e-03	1.177698e-01	2.721666e-02
27	3.859511e-03	1.335461e-03	1.171987e-01	2.614505e-02
28	3.830545e-03	1.338236e-03	1.165184e-01	2.511796e-02
29	3.801056e-03	1.347189e-03	1.157518e-01	2.416989e-02
30	3.772013e-03	1.362924e-03	1.149208e-01	2.333509e-02
31	3.744345e-03	1.385848e-03	1.140461e-01	2.264645e-02
32	3.718930e-03	1.416143e-03	1.131473e-01	2.213366e-02
33	3.696597e-03	1.453755e-03	1.122431e-01	2.182071e-02
34	3.678112e-03	1.498409e-03	1.113510e-01	2.172319e-02
35	3.664181e-03	1.549635e-03	1.104875e-01	2.184610e-02
36	3.655446e-03	1.606810e-03	1.096681e-01	2.218301e-02
37	3.652485e-03	1.669200e-03	1.089075e-01	2.271674e-02
38	3.655813e-03	1.736002e-03	1.082198e-01	2.342151e-02
39	3.665885e-03	1.806378e-03	1.076179e-01	2.426574e-02
40	3.683099e-03	1.879482e-03	1.071146e-01	2.521489e-02
41	3.707800e-03	1.954483e-03	1.067217e-01	2.623376e-02
42	3.740286e-03	2.030577e-03	1.064504e-01	2.728811e-02
43	3.780811e-03	2.106997e-03	1.063115e-01	2.834572e-02
44	3.829591e-03	2.183022e-03	1.063144e-01	2.937696e-02
45	3.886810e-03	2.257976e-03	1.064681e-01	3.035521e-02
46	3.952620e-03	2.331234e-03	1.067798e-01	3.125711e-02
47	4.027151e-03	2.402225e-03	1.072553e-01	3.206277e-02
48	4.110507e-03	2.470428e-03	1.078983e-01	3.275605e-02
49	4.202771e-03	2.535374e-03	1.087104e-01	3.332470e-02
50	4.304005e-03	2.596647e-03	1.096906e-01	3.376051e-02
51	4.414249e-03	2.653883e-03	1.108354e-01	3.405924e-02
52	4.533518e-03	2.706763e-03	1.121391e-01	3.422040e-02
53	4.661804e-03	2.755018e-03	1.135936e-01	3.424683e-02
54	4.799072e-03	2.798420e-03	1.151891e-01	3.414415e-02
55	4.945261e-03	2.836781e-03	1.169146e-01	3.392007e-02
56	5.100279e-03	2.869949e-03	1.187584e-01	3.358374e-02
57	5.264009e-03	2.897803e-03	1.207081e-01	3.314512e-02
58	5.436300e-03	2.920254e-03	1.227515e-01	3.261447e-02
59	5.616973e-03	2.937235e-03	1.248768e-01	3.200193e-02
60	5.805820e-03	2.948706e-03	1.270724e-01	3.131724e-02
61	6.002598e-03	2.954646e-03	1.293275e-01	3.056957e-02
62	6.207040e-03	2.955059e-03	1.316317e-01	2.976743e-02
63	6.418849e-03	2.949969e-03	1.339756e-01	2.891862e-02
64	6.637702e-03	2.939420e-03	1.363501e-01	2.803031e-02
65	6.863256e-03	2.923480e-03	1.387470e-01	2.710901e-02
66	7.095147e-03	2.902240e-03	1.411587e-01	2.616068e-02
67	7.332997e-03	2.875812e-03	1.435779e-01	2.519080e-02
