t_index	avg_L2_error	std_L2_error	avg_relative_error	std_relative_error
0	1.547450e-04	6.904026e-05	1.522442e-02	2.649757e-03
1	1.064005e-04	5.860402e-05	1.284843e-02	1.699295e-03
2	9.798059e-05	5.356603e-05	1.282996e-02	1.542594e-03
3	9.784681e-05	4.990458e-05	1.339289e-02	1.344632e-03
4	1.017817e-04	4.785321e-05	1.423197e-02	1.213743e-03
5	1.074559e-04	4.603716e-05	1.519378e-02	1.216441e-03
6	1.135191e-04	4.392822e-05	1.617254e-02	1.391546e-03
7	1.191955e-04	4.150763e-05	1.709575e-02	1.704411e-03
8	1.241313e-04	3.889637e-05	1.792538e-02	2.092756e-03
9	1.281594e-04	3.618070e-05	1.864147e-02	2.507811e-03
10	1.312032e-04	3.338555e-05	1.923418e-02	2.918611e-03
11	1.333140e-04	3.059264e-05	1.970490e-02	3.309219e-03
12	1.346143e-04	2.791316e-05	2.006283e-02	3.675683e-03
13	1.352383e-04	2.549732e-05	2.031980e-02	4.019790e-03
14	1.353029e-04	2.357641e-05	2.048654e-02	4.342013e-03
15	1.348974e-04	2.243064e-05	2.057157e-02	4.638556e-03
16	1.340883e-04	2.225791e-05	2.058232e-02	4.904035e-03
17	1.329269e-04	2.305025e-05	2.052622e-02	5.134340e-03
18	1.314503e-04	2.459360e-05	2.041051e-02	5.326352e-03
19	1.296911e-04	2.658117e-05	2.024265e-02	5.478287e-03
20	1.276817e-04	2.872579e-05	2.003028e-02	5.589653e-03
21	1.254535e-04	3.080694e-05	1.978081e-02	5.661046e-03
22	1.230350e-04	3.267226e-05	1.950114e-02	5.693972e-03
23	1.204534e-04	3.422489e-05	1.919760e-02	5.690655e-03
24	1.177372e-04	3.541064e-05	1.887608e-02	5.653850e-03
25	1.149192e-04	3.620854e-05	1.854227e-02	5.586731e-03
26	1.120381e-04	3.662428e-05	1.820178e-02	5.492848e-03
27	1.091389e-04	3.668548e-05	1.786028e-02	5.376122e-03
28	1.062724e-04	3.643750e-05	1.752347e-02	5.240851e-03
29	1.034924e-04	3.593896e-05	1.719700e-02	5.091661e-03
30	1.008538e-04	3.525686e-05	1.688636e-02	4.933403e-03
31	9.841038e-05	3.446149e-05	1.659680e-02	4.771001e-03
32	9.621326e-05	3.362134e-05	1.633324e-02	4.609260e-03
33	9.430928e-05	3.279857e-05	1.610017e-02	4.452680e-03
34	9.273979e-05	3.204538e-05	1.590153e-02	4.305272e-03
35	9.153972e-05	3.140198e-05	1.574063e-02	4.170412e-03
36	9.073714e-05	3.089622e-05	1.562006e-02	4.050752e-03
37	9.035314e-05	3.054490e-05	1.554162e-02	3.948200e-03
38	9.040214e-05	3.035649e-05	1.550628e-02	3.863965e-03
39	9.089253e-05	3.033442e-05	1.551424e-02	3.798669e-03
40	9.182738e-05	3.048032e-05	1.556494e-02	3.752480e-03
41	9.320537e-05	3.079664e-05	1.565715e-02	3.725258e-03
42	9.502160e-05	3.128826e-05	1.578913e-02	3.716669e-03
43	9.726842e-05	3.196292e-05	1.595867e-02	3.726259e-03
