t_index	avg_L2_error	avg_relative_error
0	2.177156e-06	6.270574e-03
1	7.523903e-06	1.161165e-02
2	1.551516e-05	1.658228e-02
3	2.593195e-05	2.133677e-02
4	3.859417e-05	2.592962e-02
5	5.337723e-05	3.040086e-02
6	7.020660e-05	3.478337e-02
7	8.900885e-05	3.909439e-02
8	1.097202e-04	4.334389e-02
9	1.322835e-04	4.753753e-02
10	1.566533e-04	5.168068e-02
11	1.828005e-04	5.577907e-02
12	2.107323e-04	5.984312e-02
13	2.404772e-04	6.388384e-02
14	2.720776e-04	6.791112e-02
15	3.055905e-04	7.193337e-02
16	3.410828e-04	7.595819e-02
17	3.785429e-04	7.998006e-02
18	4.179468e-04	8.399548e-02
19	4.591688e-04	8.799361e-02
20	5.019304e-04	9.195009e-02
21	5.460790e-04	9.585884e-02
22	5.914645e-04	9.970678e-02
23	6.378723e-04	1.034779e-01
24	6.849709e-04	1.071495e-01
25	7.327416e-04	1.107305e-01
26	7.811812e-04	1.142252e-01
27	8.302542e-04	1.176398e-01
28	8.800144e-04	1.209955e-01
29	9.305966e-04	1.243112e-01
30	9.820631e-04	1.275951e-01
31	1.034683e-03	1.308679e-01
32	1.088450e-03	1.341338e-01
33	1.143219e-03	1.373848e-01
34	1.198854e-03	1.406046e-01
35	1.255245e-03	1.437846e-01
36	1.312010e-03	1.469070e-01
37	1.368743e-03	1.499600e-01
38	1.425239e-03	1.529386e-01
39	1.481278e-03	1.558421e-01
40	1.536868e-03	1.586890e-01
41	1.592279e-03	1.615066e-01
42	1.647604e-03	1.643013e-01
43	1.702602e-03	1.670558e-01
44	1.757507e-03	1.697796e-01
45	1.812467e-03	1.724865e-01
46	1.867733e-03	1.751873e-01
47	1.923256e-03	1.778750e-01
48	1.978953e-03	1.805393e-01
49	2.035165e-03	1.831980e-01
50	2.092101e-03	1.858612e-01
51	2.149829e-03	1.885315e-01
52	2.208168e-03	1.911946e-01
53	2.267088e-03	1.938422e-01
54	2.326871e-03	1.964928e-01
55	2.387678e-03	1.991582e-01
56	2.449796e-03	2.018512e-01
57	2.512763e-03	2.045452e-01
58	2.577020e-03	2.072641e-01
59	2.643446e-03	2.100552e-01
60	2.712261e-03	2.129354e-01
61	2.783476e-03	2.158956e-01
62	2.857044e-03	2.189269e-01
63	2.933593e-03	2.220657e-01
64	3.014197e-03	2.253617e-01
65	3.098621e-03	2.287929e-01
66	3.186407e-03	2.323258e-01
67	3.277737e-03	2.359603e-01
68	3.373073e-03	2.397129e-01
69	3.472352e-03	2.435678e-01
70	3.574238e-03	2.474556e-01
71	3.678139e-03	2.513508e-01
72	3.784250e-03	2.552627e-01
73	3.892663e-03	2.591928e-01
74	4.002374e-03	2.630960e-01
75	4.112349e-03	2.669324e-01
76	4.222509e-03	2.707057e-01
77	4.333622e-03	2.744559e-01
78	4.446148e-03	2.782042e-01
79	4.560234e-03	2.819527e-01
80	4.675572e-03	2.856878e-01
81	4.791829e-03	2.893942e-01
82	4.909448e-03	2.930931e-01
83	5.028032e-03	2.967699e-01
84	5.147604e-03	3.004226e-01
85	5.267976e-03	3.040384e-01
86	5.388991e-03	3.076109e-01
87	5.511126e-03	3.111606e-01
88	5.634185e-03	3.146839e-01
